,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2000-01-02,218797.2071919627,206590.0349106889,228286.42479394862,218797.2071919627,218797.2071919627,-1174.0359018493987,-1174.0359018493987,-1174.0359018493987,-1550.1607642534589,-1550.1607642534589,-1550.1607642534589,376.12486240405985,376.12486240405985,376.12486240405985,0.0,0.0,0.0,217623.1712901133
1,2000-01-09,219063.7829675005,206809.43067137818,228501.31653835907,219063.7829675005,219063.7829675005,-1373.2964561930341,-1373.2964561930341,-1373.2964561930341,-1550.1607642534589,-1550.1607642534589,-1550.1607642534589,176.8643080604246,176.8643080604246,176.8643080604246,0.0,0.0,0.0,217690.48651130748
2,2000-01-16,219330.35874303835,206915.78537930793,228869.59232887675,219330.35874303835,219330.35874303835,-1595.8651612763613,-1595.8651612763613,-1595.8651612763613,-1550.1607642534589,-1550.1607642534589,-1550.1607642534589,-45.704397022902576,-45.704397022902576,-45.704397022902576,0.0,0.0,0.0,217734.49358176198
3,2000-01-23,219596.9345185762,207124.10878110238,228682.66946514702,219596.9345185762,219596.9345185762,-1700.5686374149093,-1700.5686374149093,-1700.5686374149093,-1550.1607642534589,-1550.1607642534589,-1550.1607642534589,-150.40787316145057,-150.40787316145057,-150.40787316145057,0.0,0.0,0.0,217896.36588116127
4,2000-01-30,219863.51029411404,206251.66646364133,228691.5529214555,219863.51029411404,219863.51029411404,-1665.696094812224,-1665.696094812224,-1665.696094812224,-1550.1607642534589,-1550.1607642534589,-1550.1607642534589,-115.53533055876515,-115.53533055876515,-115.53533055876515,0.0,0.0,0.0,218197.81419930182
5,2000-02-06,220130.08606965185,208063.8523669659,229074.49763774787,220130.08606965185,220130.08606965185,-1587.933334162757,-1587.933334162757,-1587.933334162757,-1550.1607642534589,-1550.1607642534589,-1550.1607642534589,-37.772569909298184,-37.772569909298184,-37.772569909298184,0.0,0.0,0.0,218542.1527354891
6,2000-02-13,220396.6618451897,208013.30378100593,228731.31361532354,220396.6618451897,220396.6618451897,-1567.267848870378,-1567.267848870378,-1567.267848870378,-1550.1607642534589,-1550.1607642534589,-1550.1607642534589,-17.107084616919234,-17.107084616919234,-17.107084616919234,0.0,0.0,0.0,218829.39399631933
7,2000-02-20,220663.23762072754,208092.32023965297,229936.9988526965,220663.23762072754,220663.23762072754,-1610.8753895089403,-1610.8753895089403,-1610.8753895089403,-1550.1607642534589,-1550.1607642534589,-1550.1607642534589,-60.71462525548152,-60.71462525548152,-60.71462525548152,0.0,0.0,0.0,219052.3622312186
8,2000-02-27,220929.81339626535,207981.2753584224,229148.22437801707,220929.81339626535,220929.81339626535,-1652.3228587430553,-1652.3228587430553,-1652.3228587430553,-1550.1607642534589,-1550.1607642534589,-1550.1607642534589,-102.16209448959651,-102.16209448959651,-102.16209448959651,0.0,0.0,0.0,219277.4905375223
9,2000-03-05,221196.3891718032,208452.01009169768,229342.1543958357,221196.3891718032,221196.3891718032,-1644.354283500003,-1644.354283500003,-1644.354283500003,-1550.1607642534589,-1550.1607642534589,-1550.1607642534589,-94.19351924654427,-94.19351924654427,-94.19351924654427,0.0,0.0,0.0,219552.0348883032
10,2000-03-12,221462.964947341,209149.519001878,230465.89788187898,221462.964947341,221462.964947341,-1609.4356497247898,-1609.4356497247898,-1609.4356497247898,-1550.1607642534589,-1550.1607642534589,-1550.1607642534589,-59.274885471330975,-59.274885471330975,-59.274885471330975,0.0,0.0,0.0,219853.52929761622
11,2000-03-19,221729.54072287885,209498.28286994356,229892.8419249789,221729.54072287885,221729.54072287885,-1598.841909307684,-1598.841909307684,-1598.841909307684,-1550.1607642534589,-1550.1607642534589,-1550.1607642534589,-48.68114505422534,-48.68114505422534,-48.68114505422534,0.0,0.0,0.0,220130.69881357116
12,2000-03-26,221996.1164984167,210350.23279186324,231456.35740410574,221996.1164984167,221996.1164984167,-1624.633778086479,-1624.633778086479,-1624.633778086479,-1550.1607642534589,-1550.1607642534589,-1550.1607642534589,-74.47301383301998,-74.47301383301998,-74.47301383301998,0.0,0.0,0.0,220371.4827203302
