,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2000-01-02,485926.4812554609,472788.8401247653,505894.9969534788,485926.4812554609,485926.4812554609,3891.8726603561154,3891.8726603561154,3891.8726603561154,4164.98968786159,4164.98968786159,4164.98968786159,-273.11702750547516,-273.11702750547516,-273.11702750547516,0.0,0.0,0.0,489818.353915817
1,2000-01-09,485808.6703899733,471111.73514110496,505721.1579330275,485808.6703899733,485808.6703899733,2801.0334309133696,2801.0334309133696,2801.0334309133696,4164.98968786159,4164.98968786159,4164.98968786159,-1363.9562569482207,-1363.9562569482207,-1363.9562569482207,0.0,0.0,0.0,488609.7038208867
2,2000-01-16,485690.85952448583,472044.2701173768,505597.7690234667,485690.85952448583,485690.85952448583,2313.3984387087057,2313.3984387087057,2313.3984387087057,4164.98968786159,4164.98968786159,4164.98968786159,-1851.5912491528845,-1851.5912491528845,-1851.5912491528845,0.0,0.0,0.0,488004.2579631945
3,2000-01-23,485573.04865899833,470394.81943803676,505833.1757712655,485573.04865899833,485573.04865899833,2441.7803969958795,2441.7803969958795,2441.7803969958795,4164.98968786159,4164.98968786159,4164.98968786159,-1723.2092908657112,-1723.2092908657112,-1723.2092908657112,0.0,0.0,0.0,488014.8290559942
4,2000-01-30,485455.23779351084,471263.53938647045,506202.6376519757,485455.23779351084,485455.23779351084,2779.028815240203,2779.028815240203,2779.028815240203,4164.98968786159,4164.98968786159,4164.98968786159,-1385.960872621387,-1385.960872621387,-1385.960872621387,0.0,0.0,0.0,488234.26660875103
5,2000-02-06,485337.4269280233,470891.67098725145,504831.98936328245,485337.4269280233,485337.4269280233,2938.1515295205204,2938.1515295205204,2938.1515295205204,4164.98968786159,4164.98968786159,4164.98968786159,-1226.8381583410703,-1226.8381583410703,-1226.8381583410703,0.0,0.0,0.0,488275.5784575438
6,2000-02-13,485219.6160625358,470370.7685820302,504581.9972814693,485219.6160625358,485219.6160625358,2879.8063049601237,2879.8063049601237,2879.8063049601237,4164.98968786159,4164.98968786159,4164.98968786159,-1285.1833829014665,-1285.1833829014665,-1285.1833829014665,0.0,0.0,0.0,488099.4223674959
7,2000-02-20,485101.8051970483,470462.8142199372,505802.10879653,485101.8051970483,485101.8051970483,2825.960380338482,2825.960380338482,2825.960380338482,4164.98968786159,4164.98968786159,4164.98968786159,-1339.0293075231077,-1339.0293075231077,-1339.0293075231077,0.0,0.0,0.0,487927.7655773868
8,2000-02-27,484983.9943315608,470366.50560386566,505496.6296105944,484983.9943315608,484983.9943315608,2934.5663717716693,2934.5663717716693,2934.5663717716693,4164.98968786159,4164.98968786159,4164.98968786159,-1230.423316089921,-1230.423316089921,-1230.423316089921,0.0,0.0,0.0,487918.5607033325
9,2000-03-05,484866.1834660733,470329.3956642692,505221.2703853794,484866.1834660733,484866.1834660733,3131.361577815479,3131.361577815479,3131.361577815479,4164.98968786159,4164.98968786159,4164.98968786159,-1033.6281100461115,-1033.6281100461115,-1033.6281100461115,0.0,0.0,0.0,487997.5450438888
10,2000-03-12,484748.37260058575,470474.5205569005,506108.04827523057,484748.37260058575,484748.37260058575,3248.887943103875,3248.887943103875,3248.887943103875,4164.98968786159,4164.98968786159,4164.98968786159,-916.1017447577154,-916.1017447577154,-916.1017447577154,0.0,0.0,0.0,487997.2605436896
11,2000-03-19,484630.56173509825,470307.03834961145,504163.893398813,484630.56173509825,484630.56173509825,3249.0425577216192,3249.0425577216192,3249.0425577216192,4164.98968786159,4164.98968786159,4164.98968786159,-915.9471301399709,-915.9471301399709,-915.9471301399709,0.0,0.0,0.0,487879.60429281986
12,2000-03-26,484512.7508696107,469277.80467886047,504208.5177761239,484512.7508696107,484512.7508696107,3248.622653308157,3248.622653308157,3248.622653308157,4164.98968786159,4164.98968786159,4164.98968786159,-916.3670345534338,-916.3670345534338,-916.3670345534338,0.0,0.0,0.0,487761.37352291885
13,2000-04-02,484394.94000412326,471279.9439563047,505433.3365883523,484394.94000412326,484394.94000412326,3348.6530287291166,3348.6530287291166,3348.6530287291166,4164.98968786159,4164.98968786159,4164.98968786159,-816.3366591324739,-816.3366591324739,-816.3366591324739,0.0,0.0,0.0,487743.5930328524
14,2000-04-09,484277.1291386357,470185.14423182915,507019.58427611185,484277.1291386357,484277.1291386357,3507.505619430215,3507.505619430215,3507.505619430215,4164.98968786159,4164.98968786159,4164.98968786159,-657.4840684313755,-657.4840684313755,-657.4840684313755,0.0,0.0,0.0,487784.6347580659
