,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2000-01-02,17927727.67621362,16668631.822488835,18981367.554040298,17927727.67621362,17927727.67621362,-87114.7627347249,-87114.7627347249,-87114.7627347249,-110193.76570055708,-110193.76570055708,-110193.76570055708,23079.002965832176,23079.002965832176,23079.002965832176,0.0,0.0,0.0,17840612.913478892
1,2000-01-09,17940424.412344772,16712923.862497032,19152115.55536685,17940424.412344772,17940424.412344772,4521.174725007053,4521.174725007053,4521.174725007053,-110193.76570055708,-110193.76570055708,-110193.76570055708,114714.94042556413,114714.94042556413,114714.94042556413,0.0,0.0,0.0,17944945.58706978
2,2000-01-16,17953121.148475923,16796773.472889576,19097473.187626813,17953121.148475923,17953121.148475923,43194.68418238364,43194.68418238364,43194.68418238364,-110193.76570055708,-110193.76570055708,-110193.76570055708,153388.44988294074,153388.44988294074,153388.44988294074,0.0,0.0,0.0,17996315.832658306
3,2000-01-23,17965817.884607077,16710249.817517558,19161019.8926141,17965817.884607077,17965817.884607077,30980.931219001555,30980.931219001555,30980.931219001555,-110193.76570055708,-110193.76570055708,-110193.76570055708,141174.69691955863,141174.69691955863,141174.69691955863,0.0,0.0,0.0,17996798.815826077
4,2000-01-30,17978514.62073823,16743910.017914876,19199018.93087172,17978514.62073823,17978514.62073823,3838.636750471177,3838.636750471177,3838.636750471177,-110193.76570055708,-110193.76570055708,-110193.76570055708,114032.40245102826,114032.40245102826,114032.40245102826,0.0,0.0,0.0,17982353.2574887
5,2000-02-06,17991211.356869385,16762644.910440622,19157457.661773376,17991211.356869385,17991211.356869385,-6720.303463059412,-6720.303463059412,-6720.303463059412,-110193.76570055708,-110193.76570055708,-110193.76570055708,103473.46223749766,103473.46223749766,103473.46223749766,0.0,0.0,0.0,17984491.053406324
6,2000-02-13,18003908.093000535,16772429.571830887,19193150.69440168,18003908.093000535,18003908.093000535,439.9818200742508,439.9818200742508,439.9818200742508,-110193.76570055708,-110193.76570055708,-110193.76570055708,110633.74752063134,110633.74752063134,110633.74752063134,0.0,0.0,0.0,18004348.074820608
7,2000-02-20,18016604.82913169,16821290.7126678,19218875.308877733,18016604.82913169,18016604.82913169,5845.2409632548715,5845.2409632548715,5845.2409632548715,-110193.76570055708,-110193.76570055708,-110193.76570055708,116039.00666381196,116039.00666381196,116039.00666381196,0.0,0.0,0.0,18022450.070094943
8,2000-02-27,18029301.56526284,16785321.346935064,19231901.628155068,18029301.56526284,18029301.56526284,-2665.6165533166873,-2665.6165533166873,-2665.6165533166873,-110193.76570055708,-110193.76570055708,-110193.76570055708,107528.1491472404,107528.1491472404,107528.1491472404,0.0,0.0,0.0,18026635.94870952
9,2000-03-05,18041998.301393993,16833691.337596305,19227736.00284723,18041998.301393993,18041998.301393993,-17522.72067790046,-17522.72067790046,-17522.72067790046,-110193.76570055708,-110193.76570055708,-110193.76570055708,92671.04502265663,92671.04502265663,92671.04502265663,0.0,0.0,0.0,18024475.580716092
10,2000-03-12,18054695.037525147,16798377.097091302,19169191.983840924,18054695.037525147,18054695.037525147,-24813.27150024682,-24813.27150024682,-24813.27150024682,-110193.76570055708,-110193.76570055708,-110193.76570055708,85380.49420031026,85380.49420031026,85380.49420031026,0.0,0.0,0.0,18029881.7660249
11,2000-03-19,18067391.773656297,16824068.558329053,19306721.946994077,18067391.773656297,18067391.773656297,-22633.020773702723,-22633.020773702723,-22633.020773702723,-110193.76570055708,-110193.76570055708,-110193.76570055708,87560.74492685436,87560.74492685436,87560.74492685436,0.0,0.0,0.0,18044758.752882596
12,2000-03-26,18080088.50978745,16853976.952063248,19275614.009339254,18080088.50978745,18080088.50978745,-21473.606526757052,-21473.606526757052,-21473.606526757052,-110193.76570055708,-110193.76570055708,-110193.76570055708,88720.15917380003,88720.15917380003,88720.15917380003,0.0,0.0,0.0,18058614.903260693
13,2000-04-02,18092785.2459186,16786635.716185078,19248238.481240377,18092785.2459186,18092785.2459186,-29046.558927003996,-29046.558927003996,-29046.558927003996,-110193.76570055708,-110193.76570055708,-110193.76570055708,81147.20677355309,81147.20677355309,81147.20677355309,0.0,0.0,0.0,18063738.6869916
14,2000-04-09,18105481.982049756,16957432.703228846,19269740.374075904,18105481.982049756,18105481.982049756,-40723.17930751499,-40723.17930751499,-40723.17930751499,-110193.76570055708,-110193.76570055708,-110193.76570055708,69470.58639304209,69470.58639304209,69470.58639304209,0.0,0.0,0.0,18064758.80274224
15,2000-04-16,18118178.718180906,16854674.857696943,19264838.58756364,18118178.718180906,18118178.718180906,-46989.712162903066,-46989.712162903066,-46989.712162903066,-110193.76570055708,-110193.76570055708,-110193.76570055708,63204.053537654014,63204.053537654014,63204.053537654014,0.0,0.0,0.0,18071189.006018
16,2000-04-23,18130875.45431206,16890102.932545345,19300571.27552,18130875.45431206,18130875.45431206,-46430.1295403124,-46430.1295403124,-46430.1295403124,-110193.76570055708,-110193.76570055708,-110193.76570055708,63763.63616024468,63763.63616024468,63763.63616024468,0.0,0.0,0.0,18084445.324771747
17,2000-04-30,18143572.190443214,16887546.64713908,19382804.669275288,18143572.190443214,18143572.190443214,-46859.139952347505,-46859.139952347505,-46859.139952347505,-110193.76570055708,-110193.76570055708,-110193.76570055708,63334.62574820956,63334.62574820956,63334.62574820956,0.0,0.0,0.0,18096713.050490867
18,2000-05-07,18156268.926574368,16938350.36692074,19279637.990751054,18156268.926574368,18156268.926574368,-54171.533178900485,-54171.533178900485,-54171.533178900485,-110193.76570055708,-110193.76570055708,-110193.76570055708,56022.23252165659,56022.23252165659,56022.23252165659,0.0,0.0,0.0,18102097.39339547
19,2000-05-14,18168965.66270552,16917730.931077007,19527432.000698417,18168965.66270552,18168965.66270552,-64557.057496383306,-64557.057496383306,-64557.057496383306,-110193.76570055708,-110193.76570055708,-110193.76570055708,45636.70820417378,45636.70820417378,45636.70820417378,0.0,0.0,0.0,18104408.605209135
20,2000-05-21,18181662.398836672,16985065.553362492,19332520.994368818,18181662.398836672,18181662.398836672,-70214.73241757283,-70214.73241757283,-70214.73241757283,-110193.76570055708,-110193.76570055708,-110193.76570055708,39979.03328298424,39979.03328298424,39979.03328298424,0.0,0.0,0.0,18111447.6664191
21,2000-05-28,18194359.134967823,16913516.61428911,19291298.84892186,18194359.134967823,18194359.134967823,-70221.1258003468,-70221.1258003468,-70221.1258003468,-110193.76570055708,-110193.76570055708,-110193.76570055708,39972.63990021028,39972.63990021028,39972.63990021028,0.0,0.0,0.0,18124138.009167477
