,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2000-01-02,6682394.6058444185,5956648.668992883,7375350.008741728,6682394.6058444185,6682394.6058444185,1340.6794865324791,1340.6794865324791,1340.6794865324791,-41201.08821945118,-41201.08821945118,-41201.08821945118,42541.76770598366,42541.76770598366,42541.76770598366,0.0,0.0,0.0,6683735.285330951
1,2000-01-09,6687161.820584563,6118959.096582893,7517409.577581816,6687161.820584563,6687161.820584563,134679.50153073182,134679.50153073182,134679.50153073182,-41201.08821945118,-41201.08821945118,-41201.08821945118,175880.58975018305,175880.58975018305,175880.58975018305,0.0,0.0,0.0,6821841.322115295
2,2000-01-16,6691929.035324705,6135893.829798226,7589053.200438015,6691929.035324705,6691929.035324705,187267.86815294632,187267.86815294632,187267.86815294632,-41201.08821945118,-41201.08821945118,-41201.08821945118,228468.95637239754,228468.95637239754,228468.95637239754,0.0,0.0,0.0,6879196.903477651
3,2000-01-23,6696696.250064849,6146709.032577504,7588328.050816071,6696696.250064849,6696696.250064849,164936.40131854865,164936.40131854865,164936.40131854865,-41201.08821945118,-41201.08821945118,-41201.08821945118,206137.48953799988,206137.48953799988,206137.48953799988,0.0,0.0,0.0,6861632.651383397
4,2000-01-30,6701463.464804992,6151661.625690013,7541809.615264804,6701463.464804992,6701463.464804992,122858.05107620299,122858.05107620299,122858.05107620299,-41201.08821945118,-41201.08821945118,-41201.08821945118,164059.1392956542,164059.1392956542,164059.1392956542,0.0,0.0,0.0,6824321.515881195
5,2000-02-06,6706230.679545135,6093235.266257767,7525573.536426184,6706230.679545135,6706230.679545135,107212.94826024586,107212.94826024586,107212.94826024586,-41201.08821945118,-41201.08821945118,-41201.08821945118,148414.03647969704,148414.03647969704,148414.03647969704,0.0,0.0,0.0,6813443.627805381
6,2000-02-13,6710997.894285278,6158507.626215855,7562001.611569733,6710997.894285278,6710997.894285278,117806.967332474,117806.967332474,117806.967332474,-41201.08821945118,-41201.08821945118,-41201.08821945118,159008.05555192518,159008.05555192518,159008.05555192518,0.0,0.0,0.0,6828804.861617752
7,2000-02-20,6715765.1090254225,6130125.201111607,7575935.601456189,6715765.1090254225,6715765.1090254225,124685.24937832633,124685.24937832633,124685.24937832633,-41201.08821945118,-41201.08821945118,-41201.08821945118,165886.33759777754,165886.33759777754,165886.33759777754,0.0,0.0,0.0,6840450.358403749
8,2000-02-27,6720532.323765565,6101886.379838924,7546773.272781091,6720532.323765565,6720532.323765565,110351.23021107865,110351.23021107865,110351.23021107865,-41201.08821945118,-41201.08821945118,-41201.08821945118,151552.31843052985,151552.31843052985,151552.31843052985,0.0,0.0,0.0,6830883.553976644
9,2000-03-05,6725299.538505709,6094291.760483617,7510086.371211469,6725299.538505709,6725299.538505709,87108.06495972449,87108.06495972449,87108.06495972449,-41201.08821945118,-41201.08821945118,-41201.08821945118,128309.15317917566,128309.15317917566,128309.15317917566,0.0,0.0,0.0,6812407.603465433
10,2000-03-12,6730066.753245853,6059142.656883326,7540714.484732026,6730066.753245853,6730066.753245853,75824.92177610775,75824.92177610775,75824.92177610775,-41201.08821945118,-41201.08821945118,-41201.08821945118,117026.00999555891,117026.00999555891,117026.00999555891,0.0,0.0,0.0,6805891.67502196
11,2000-03-19,6734833.967985996,6127957.848816114,7532253.010815933,6734833.967985996,6734833.967985996,78635.71981234004,78635.71981234004,78635.71981234004,-41201.08821945118,-41201.08821945118,-41201.08821945118,119836.80803179121,119836.80803179121,119836.80803179121,0.0,0.0,0.0,6813469.687798336
12,2000-03-26,6739601.182726139,6137983.595002665,7503462.676457294,6739601.182726139,6739601.182726139,79384.16611668162,79384.16611668162,79384.16611668162,-41201.08821945118,-41201.08821945118,-41201.08821945118,120585.25433613278,120585.25433613278,120585.25433613278,0.0,0.0,0.0,6818985.348842821
13,2000-04-02,6744368.397466282,6037903.1421834435,7515098.707741995,6744368.397466282,6744368.397466282,66825.14120030448,66825.14120030448,66825.14120030448,-41201.08821945118,-41201.08821945118,-41201.08821945118,108026.22941975565,108026.22941975565,108026.22941975565,0.0,0.0,0.0,6811193.538666586
14,2000-04-09,6749135.612206426,6050630.843224312,7537902.884643943,6749135.612206426,6749135.612206426,48407.921662340195,48407.921662340195,48407.921662340195,-41201.08821945118,-41201.08821945118,-41201.08821945118,89609.00988179137,89609.00988179137,89609.00988179137,0.0,0.0,0.0,6797543.533868766
