,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2000-01-02,457983.0903569383,427839.341235024,486887.1844256177,457983.0903569383,457983.0903569383,223.8395026539759,223.8395026539759,223.8395026539759,436.5763811510157,436.5763811510157,436.5763811510157,-212.73687849703978,-212.73687849703978,-212.73687849703978,0.0,0.0,0.0,458206.9298595923
1,2000-01-09,458091.4942814902,426240.84392836527,488145.1002062873,458091.4942814902,458091.4942814902,-555.1958726048194,-555.1958726048194,-555.1958726048194,436.5763811510157,436.5763811510157,436.5763811510157,-991.7722537558351,-991.7722537558351,-991.7722537558351,0.0,0.0,0.0,457536.29840888537
2,2000-01-16,458199.8982060422,426440.3220539252,489646.22919849993,458199.8982060422,458199.8982060422,-799.118396705746,-799.118396705746,-799.118396705746,436.5763811510157,436.5763811510157,436.5763811510157,-1235.6947778567617,-1235.6947778567617,-1235.6947778567617,0.0,0.0,0.0,457400.7798093364
3,2000-01-23,458308.3021305941,427361.53405328566,490531.09053751116,458308.3021305941,458308.3021305941,-608.2888203877365,-608.2888203877365,-608.2888203877365,436.5763811510157,436.5763811510157,436.5763811510157,-1044.8652015387522,-1044.8652015387522,-1044.8652015387522,0.0,0.0,0.0,457700.01331020636
4,2000-01-30,458416.70605514594,425708.34008305776,490442.4623263957,458416.70605514594,458416.70605514594,-362.41085247326595,-362.41085247326595,-362.41085247326595,436.5763811510157,436.5763811510157,436.5763811510157,-798.9872336242817,-798.9872336242817,-798.9872336242817,0.0,0.0,0.0,458054.29520267266
5,2000-02-06,458525.10997969785,426586.4855793748,489915.32941665605,458525.10997969785,458525.10997969785,-326.4801489512074,-326.4801489512074,-326.4801489512074,436.5763811510157,436.5763811510157,436.5763811510157,-763.0565301022232,-763.0565301022232,-763.0565301022232,0.0,0.0,0.0,458198.6298307466
6,2000-02-13,458633.51390424976,428349.5122044144,489978.6426947875,458633.51390424976,458633.51390424976,-447.44036933891914,-447.44036933891914,-447.44036933891914,436.57638115101565,436.57638115101565,436.57638115101565,-884.0167504899349,-884.0167504899349,-884.0167504899349,0.0,0.0,0.0,458186.07353491086
7,2000-02-20,458741.9178288017,427779.9913199802,488282.3148676605,458741.9178288017,458741.9178288017,-512.04837027889,-512.04837027889,-512.04837027889,436.57638115101565,436.57638115101565,436.57638115101565,-948.6247514299057,-948.6247514299057,-948.6247514299057,0.0,0.0,0.0,458229.8694585228
8,2000-02-27,458850.32175335364,426362.5108584437,488444.67413753335,458850.32175335364,458850.32175335364,-429.47072264137904,-429.47072264137904,-429.47072264137904,436.57638115101565,436.57638115101565,436.57638115101565,-866.0471037923948,-866.0471037923948,-866.0471037923948,0.0,0.0,0.0,458420.85103071225
9,2000-03-05,458958.72567790555,427188.7597190444,489592.41043814,458958.72567790555,458958.72567790555,-308.19376400380855,-308.19376400380855,-308.19376400380855,436.57638115101565,436.57638115101565,436.57638115101565,-744.7701451548243,-744.7701451548243,-744.7701451548243,0.0,0.0,0.0,458650.53191390174
10,2000-03-12,459067.1296024574,430210.30192392814,491590.3283054455,459067.1296024574,459067.1296024574,-283.7864672670271,-283.7864672670271,-283.7864672670271,436.57638115101565,436.57638115101565,436.57638115101565,-720.3628484180426,-720.3628484180426,-720.3628484180426,0.0,0.0,0.0,458783.3431351904
11,2000-03-19,459175.53352700936,426755.03185738437,489280.4860876742,459175.53352700936,459175.53352700936,-346.5256174489642,-346.5256174489642,-346.5256174489642,436.5763811510157,436.5763811510157,436.5763811510157,-783.10199859998,-783.10199859998,-783.10199859998,0.0,0.0,0.0,458829.0079095604
12,2000-03-26,459283.9374515613,426391.03178662964,493059.01888696925,459283.9374515613,459283.9374515613,-376.6370630611932,-376.6370630611932,-376.6370630611932,436.5763811510157,436.5763811510157,436.5763811510157,-813.213444212209,-813.213444212209,-813.213444212209,0.0,0.0,0.0,458907.3003885001
13,2000-04-02,459392.3413761132,428152.8181814426,492588.8668087818,459392.3413761132,459392.3413761132,-312.4377369296637,-312.4377369296637,-312.4377369296637,436.5763811510157,436.5763811510157,436.5763811510157,-749.0141180806794,-749.0141180806794,-749.0141180806794,0.0,0.0,0.0,459079.9036391835
14,2000-04-09,459500.7453006651,426591.96480744117,492512.8760364499,459500.7453006651,459500.7453006651,-222.8259343129562,-222.8259343129562,-222.8259343129562,436.5763811510157,436.5763811510157,436.5763811510157,-659.402315463972,-659.402315463972,-659.402315463972,0.0,0.0,0.0,459277.91936635214
15,2000-04-16,459609.14922521706,428081.51618455775,488966.10215484985,459609.14922521706,459609.14922521706,-203.23455079041562,-203.23455079041562,-203.23455079041562,436.5763811510157,436.5763811510157,436.5763811510157,-639.8109319414312,-639.8109319414312,-639.8109319414312,0.0,0.0,0.0,459405.91467442666
16,2000-04-23,459717.5531497689,428391.90661336965,493107.04968017223,459717.5531497689,459717.5531497689,-247.31200481520796,-247.31200481520796,-247.31200481520796,436.5763811510157,436.5763811510157,436.5763811510157,-683.8883859662237,-683.8883859662237,-683.8883859662237,0.0,0.0,0.0,459470.2411449537
17,2000-04-30,459825.9570743208,426286.3848719675,489114.6562318832,459825.9570743208,459825.9570743208,-263.5142396439952,-263.5142396439952,-263.5142396439952,436.5763811510159,436.5763811510159,436.5763811510159,-700.0906207950111,-700.0906207950111,-700.0906207950111,0.0,0.0,0.0,459562.4428346768
18,2000-05-07,459934.3609988727,428127.453794422,490502.50887503906,459934.3609988727,459934.3609988727,-203.79676622351377,-203.79676622351377,-203.79676622351377,436.57638115101577,436.57638115101577,436.57638115101577,-640.3731473745296,-640.3731473745296,-640.3731473745296,0.0,0.0,0.0,459730.5642326492
19,2000-05-14,460042.76492342463,428786.8940167133,494026.640064997,460042.76492342463,460042.76492342463,-126.91919515089337,-126.91919515089337,-126.91919515089337,436.57638115101577,436.57638115101577,436.57638115101577,-563.4955763019092,-563.4955763019092,-563.4955763019092,0.0,0.0,0.0,459915.84572827374
20,2000-05-21,460151.1688479766,431028.48030632106,491972.9084977426,460151.1688479766,460151.1688479766,-114.91539269389892,-114.91539269389892,-114.91539269389892,436.5763811510157,436.5763811510157,436.5763811510157,-551.4917738449146,-551.4917738449146,-551.4917738449146,0.0,0.0,0.0,460036.2534552827
21,2000-05-28,460259.5727725285,428659.50334184273,490493.70607287023,460259.5727725285,460259.5727725285,-159.14365183472432,-159.14365183472432,-159.14365183472432,436.5763811510158,436.5763811510158,436.5763811510158,-595.7200329857402,-595.7200329857402,-595.7200329857402,0.0,0.0,0.0,460100.42912069376
22,2000-06-04,460367.9766970804,430906.51976045145,492428.616926531,460367.9766970804,460367.9766970804,-168.35969875621205,-168.35969875621205,-168.35969875621205,436.57638115101577,436.57638115101577,436.57638115101577,-604.936079907228,-604.936079907228,-604.936079907228,0.0,0.0,0.0,460199.6169983242
23,2000-06-11,460476.38062163227,429499.00394961494,494398.7845652572,460476.38062163227,460476.38062163227,-85.33159806898779,-85.33159806898779,-85.33159806898779,436.5763811510158,436.5763811510158,436.5763811510158,-521.9079792200037,-521.9079792200037,-521.9079792200037,0.0,0.0,0.0,460391.0490235633
