,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2000-01-02,2124238.4735320467,1935503.1738477503,2369703.989388432,2124238.4735320467,2124238.4735320467,25808.691867716043,25808.691867716043,25808.691867716043,21145.754368212893,21145.754368212893,21145.754368212893,4662.937499503149,4662.937499503149,4662.937499503149,0.0,0.0,0.0,2150047.165399763
1,2000-01-09,2123071.7761742296,1964587.9421437853,2373178.314458656,2123071.7761742296,2123071.7761742296,45734.80965453735,45734.80965453735,45734.80965453735,21145.754368212893,21145.754368212893,21145.754368212893,24589.055286324456,24589.055286324456,24589.055286324456,0.0,0.0,0.0,2168806.5858287667
2,2000-01-16,2121905.078816413,1969278.8489439955,2376256.182939138,2121905.078816413,2121905.078816413,53516.903738436595,53516.903738436595,53516.903738436595,21145.754368212893,21145.754368212893,21145.754368212893,32371.149370223702,32371.149370223702,32371.149370223702,0.0,0.0,0.0,2175421.9825548497
3,2000-01-23,2120738.381458596,1973753.8605243117,2375937.6954599624,2120738.381458596,2120738.381458596,50080.67687110695,50080.67687110695,50080.67687110695,21145.754368212893,21145.754368212893,21145.754368212893,28934.922502894064,28934.922502894064,28934.922502894064,0.0,0.0,0.0,2170819.058329703
4,2000-01-30,2119571.6841007792,1958084.2741361337,2358187.2428412493,2119571.6841007792,2119571.6841007792,43788.024170860226,43788.024170860226,43788.024170860226,21145.754368212893,21145.754368212893,21145.754368212893,22642.269802647337,22642.269802647337,22642.269802647337,0.0,0.0,0.0,2163359.7082716394
5,2000-02-06,2118404.9867429626,1944548.7778113096,2349995.7491832115,2118404.9867429626,2118404.9867429626,41595.69035234214,41595.69035234214,41595.69035234214,21145.754368212893,21145.754368212893,21145.754368212893,20449.935984129246,20449.935984129246,20449.935984129246,0.0,0.0,0.0,2160000.6770953047
6,2000-02-13,2117238.2893851455,1966100.0686916106,2360416.0565564213,2117238.2893851455,2117238.2893851455,43416.71349533105,43416.71349533105,43416.71349533105,21145.754368212893,21145.754368212893,21145.754368212893,22270.95912711816,22270.95912711816,22270.95912711816,0.0,0.0,0.0,2160655.0028804764
7,2000-02-20,2116071.592027329,1962804.0259762516,2368150.232285457,2116071.592027329,2116071.592027329,44673.27832213069,44673.27832213069,44673.27832213069,21145.754368212893,21145.754368212893,21145.754368212893,23527.523953917796,23527.523953917796,23527.523953917796,0.0,0.0,0.0,2160744.87034946
8,2000-02-27,2114904.894669512,1952832.79953026,2355747.542031789,2114904.894669512,2114904.894669512,42709.1090235825,42709.1090235825,42709.1090235825,21145.754368212893,21145.754368212893,21145.754368212893,21563.354655369614,21563.354655369614,21563.354655369614,0.0,0.0,0.0,2157614.0036930945
9,2000-03-05,2113738.197311695,1938801.7160215518,2358246.087901028,2113738.197311695,2113738.197311695,39400.91442649779,39400.91442649779,39400.91442649779,21145.754368212893,21145.754368212893,21145.754368212893,18255.16005828489,18255.16005828489,18255.16005828489,0.0,0.0,0.0,2153139.111738193
10,2000-03-12,2112571.499953878,1950755.2267320699,2332890.40496783,2112571.499953878,2112571.499953878,37914.57169579891,37914.57169579891,37914.57169579891,21145.754368212893,21145.754368212893,21145.754368212893,16768.81732758602,16768.81732758602,16768.81732758602,0.0,0.0,0.0,2150486.071649677
11,2000-03-19,2111404.802596061,1943076.438156147,2363456.059533328,2111404.802596061,2111404.802596061,38561.66374650644,38561.66374650644,38561.66374650644,21145.754368212893,21145.754368212893,21145.754368212893,17415.90937829355,17415.90937829355,17415.90937829355,0.0,0.0,0.0,2149966.4663425675
12,2000-03-26,2110238.105238245,1949728.55052767,2357880.976747715,2110238.105238245,2110238.105238245,38884.1268328079,38884.1268328079,38884.1268328079,21145.754368212893,21145.754368212893,21145.754368212893,17738.372464595006,17738.372464595006,17738.372464595006,0.0,0.0,0.0,2149122.232071053
13,2000-04-02,2109071.407880428,1950194.9824290578,2344933.529506259,2109071.407880428,2109071.407880428,37185.35648766407,37185.35648766407,37185.35648766407,21145.754368212893,21145.754368212893,21145.754368212893,16039.602119451174,16039.602119451174,16039.602119451174,0.0,0.0,0.0,2146256.7643680917
