,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2000-01-02,3014259.418725644,2903750.951405299,3110501.0774519686,3014259.418725644,3014259.418725644,-3703.5768672799436,-3703.5768672799436,-3703.5768672799436,-1361.8622563056451,-1361.8622563056451,-1361.8622563056451,-2341.714610974298,-2341.714610974298,-2341.714610974298,0.0,0.0,0.0,3010555.8418583637
1,2000-01-09,3014747.732162765,2905438.283771638,3116023.780047176,3014747.732162765,3014747.732162765,-329.7868306972841,-329.7868306972841,-329.7868306972841,-1361.862256305646,-1361.862256305646,-1361.862256305646,1032.075425608362,1032.075425608362,1032.075425608362,0.0,0.0,0.0,3014417.945332068
2,2000-01-16,3015236.0455998867,2913166.626813872,3125648.5351985367,3015236.0455998867,3015236.0455998867,2581.107121028371,2581.107121028371,2581.107121028371,-1361.862256305646,-1361.862256305646,-1361.862256305646,3942.969377334017,3942.969377334017,3942.969377334017,0.0,0.0,0.0,3017817.152720915
3,2000-01-23,3015724.3590370077,2913438.249797363,3128562.067001007,3015724.3590370077,3015724.3590370077,3292.0942249114814,3292.0942249114814,3292.0942249114814,-1361.8622563056465,-1361.8622563056465,-1361.8622563056465,4653.956481217128,4653.956481217128,4653.956481217128,0.0,0.0,0.0,3019016.4532619193
4,2000-01-30,3016212.672474129,2916359.275779483,3120684.5728563173,3016212.672474129,3016212.672474129,2091.5736716712004,2091.5736716712004,2091.5736716712004,-1361.8622563056465,-1361.8622563056465,-1361.8622563056465,3453.435927976847,3453.435927976847,3453.435927976847,0.0,0.0,0.0,3018304.2461458
5,2000-02-06,3016700.985911251,2919434.2760915873,3125452.5705376007,3016700.985911251,3016700.985911251,667.0923492935785,667.0923492935785,667.0923492935785,-1361.8622563056463,-1361.8622563056463,-1361.8622563056463,2028.954605599225,2028.954605599225,2028.954605599225,0.0,0.0,0.0,3017368.0782605447
6,2000-02-13,3017189.2993483725,2906850.492818769,3128605.408651579,3017189.2993483725,3017189.2993483725,244.81377821883152,244.81377821883152,244.81377821883152,-1361.8622563056438,-1361.8622563056438,-1361.8622563056438,1606.6760345244752,1606.6760345244752,1606.6760345244752,0.0,0.0,0.0,3017434.1131265913
7,2000-02-20,3017677.612785494,2914107.081301451,3126778.29665459,3017677.612785494,3017677.612785494,561.4580132213092,561.4580132213092,561.4580132213092,-1361.8622563056435,-1361.8622563056435,-1361.8622563056435,1923.320269526953,1923.320269526953,1923.320269526953,0.0,0.0,0.0,3018239.070798715
8,2000-02-27,3018165.9262226154,2916142.287992272,3118307.8628715375,3018165.9262226154,3018165.9262226154,582.7727580226616,582.7727580226616,582.7727580226616,-1361.8622563056442,-1361.8622563056442,-1361.8622563056442,1944.6350143283062,1944.6350143283062,1944.6350143283062,0.0,0.0,0.0,3018748.6989806383
9,2000-03-05,3018654.2396597364,2913374.6976701873,3116866.8649558607,3018654.2396597364,3018654.2396597364,-130.80952004723335,-130.80952004723335,-130.80952004723335,-1361.8622563056442,-1361.8622563056442,-1361.8622563056442,1231.0527362584107,1231.0527362584107,1231.0527362584107,0.0,0.0,0.0,3018523.4301396892
