,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2000-01-02,417829.48805156,231867.84113817828,642859.4673500353,417829.48805156,417829.48805156,17889.05616482953,17889.05616482953,17889.05616482953,9153.193019700197,9153.193019700197,9153.193019700197,8735.863145129331,8735.863145129331,8735.863145129331,0.0,0.0,0.0,435718.54421638953
1,2000-01-09,418452.90133465134,248119.98429869142,664349.5900703939,418452.90133465134,418452.90133465134,50710.73625225843,50710.73625225843,50710.73625225843,9153.193019700197,9153.193019700197,9153.193019700197,41557.54323255823,41557.54323255823,41557.54323255823,0.0,0.0,0.0,469163.63758690975
2,2000-01-16,419076.31461774255,292705.43717628263,692880.5896405764,419076.31461774255,419076.31461774255,64457.98328735094,64457.98328735094,64457.98328735094,9153.193019700197,9153.193019700197,9153.193019700197,55304.79026765074,55304.79026765074,55304.79026765074,0.0,0.0,0.0,483534.29790509347
3,2000-01-23,419699.7279008339,278156.5349945719,677939.16472847,419699.7279008339,419699.7279008339,59771.14995088714,59771.14995088714,59771.14995088714,9153.193019700197,9153.193019700197,9153.193019700197,50617.956931186935,50617.956931186935,50617.956931186935,0.0,0.0,0.0,479470.877851721
4,2000-01-30,420323.1411839251,270091.69431479997,671993.0440651204,420323.1411839251,420323.1411839251,49639.96931376427,49639.96931376427,49639.96931376427,9153.193019700197,9153.193019700197,9153.193019700197,40486.77629406407,40486.77629406407,40486.77629406407,0.0,0.0,0.0,469963.11049768934
5,2000-02-06,420946.5544670164,258459.6542319952,645419.9531770278,420946.5544670164,420946.5544670164,45532.91018951362,45532.91018951362,45532.91018951362,9153.193019700197,9153.193019700197,9153.193019700197,36379.71716981342,36379.71716981342,36379.71716981342,0.0,0.0,0.0,466479.46465653006
6,2000-02-13,421569.9677501077,252609.8420946607,683572.7564423973,421569.9677501077,421569.9677501077,47915.84198226458,47915.84198226458,47915.84198226458,9153.193019700197,9153.193019700197,9153.193019700197,38762.64896256437,38762.64896256437,38762.64896256437,0.0,0.0,0.0,469485.8097323723
7,2000-02-20,422193.381033199,269092.6409181463,665590.810391359,422193.381033199,422193.381033199,49707.683657367794,49707.683657367794,49707.683657367794,9153.193019700197,9153.193019700197,9153.193019700197,40554.49063766759,40554.49063766759,40554.49063766759,0.0,0.0,0.0,471901.0646905668
8,2000-02-27,422816.7943162903,254625.29006887774,668627.3511872742,422816.7943162903,422816.7943162903,46419.48906065081,46419.48906065081,46419.48906065081,9153.193019700197,9153.193019700197,9153.193019700197,37266.296040950605,37266.296040950605,37266.296040950605,0.0,0.0,0.0,469236.2833769411
9,2000-03-05,423440.20759938157,261923.6523774288,660194.9882021353,423440.20759938157,423440.20759938157,40752.52056961763,40752.52056961763,40752.52056961763,9153.193019700197,9153.193019700197,9153.193019700197,31599.327549917427,31599.327549917427,31599.327549917427,0.0,0.0,0.0,464192.7281689992
10,2000-03-12,424063.6208824729,255427.80017199303,658339.869263704,424063.6208824729,424063.6208824729,37799.800843368124,37799.800843368124,37799.800843368124,9153.193019700197,9153.193019700197,9153.193019700197,28646.60782366792,28646.60782366792,28646.60782366792,0.0,0.0,0.0,461863.421725841
11,2000-03-19,424687.0341655641,254077.94735519352,677581.2975824897,424687.0341655641,424687.0341655641,38334.87583698635,38334.87583698635,38334.87583698635,9153.193019700197,9153.193019700197,9153.193019700197,29181.682817286146,29181.682817286146,29181.682817286146,0.0,0.0,0.0,463021.91000255046
12,2000-03-26,425310.44744865544,252709.90953696944,657788.1832197257,425310.44744865544,425310.44744865544,38568.78967909348,38568.78967909348,38568.78967909348,9153.193019700197,9153.193019700197,9153.193019700197,29415.59665939328,29415.59665939328,29415.59665939328,0.0,0.0,0.0,463879.2371277489
13,2000-04-02,425933.86073174677,253117.9457602297,663192.5453658315,425933.86073174677,425933.86073174677,35632.74537214324,35632.74537214324,35632.74537214324,9153.193019700197,9153.193019700197,9153.193019700197,26479.552352443032,26479.552352443032,26479.552352443032,0.0,0.0,0.0,461566.60610389
14,2000-04-09,426557.274014838,257012.72426591115,670564.6706742492,426557.274014838,426557.274014838,31135.541873476155,31135.541873476155,31135.541873476155,9153.193019700197,9153.193019700197,9153.193019700197,21982.348853775948,21982.348853775948,21982.348853775948,0.0,0.0,0.0,457692.81588831416
15,2000-04-16,427180.6872979293,246983.3059912877,659503.8332233952,427180.6872979293,427180.6872979293,28551.10187926189,28551.10187926189,28551.10187926189,9153.193019700197,9153.193019700197,9153.193019700197,19397.90885956169,19397.90885956169,19397.90885956169,0.0,0.0,0.0,455731.7891771912
16,2000-04-23,427804.1005810206,262298.1488615379,666464.048392315,427804.1005810206,427804.1005810206,28484.820655731324,28484.820655731324,28484.820655731324,9153.193019700197,9153.193019700197,9153.193019700197,19331.62763603112,19331.62763603112,19331.62763603112,0.0,0.0,0.0,456288.9212367519
17,2000-04-30,428427.51386411185,263339.2976884367,661893.2792459861,428427.51386411185,428427.51386411185,28145.33740996492,28145.33740996492,28145.33740996492,9153.1930197002,9153.1930197002,9153.1930197002,18992.144390264715,18992.144390264715,18992.144390264715,0.0,0.0,0.0,456572.8512740768
18,2000-05-07,429050.9271472031,253543.16294981318,652635.7485028118,429050.9271472031,429050.9271472031,25323.491613760278,25323.491613760278,25323.491613760278,9153.193019700197,9153.193019700197,9153.193019700197,16170.298594060077,16170.298594060077,16170.298594060077,0.0,0.0,0.0,454374.4187609634
19,2000-05-14,429674.34043029445,248859.18272364623,661948.8967649386,429674.34043029445,429674.34043029445,21294.65552930321,21294.65552930321,21294.65552930321,9153.193019700197,9153.193019700197,9153.193019700197,12141.462509603016,12141.462509603016,12141.462509603016,0.0,0.0,0.0,450968.99595959764
20,2000-05-21,430297.7537133857,235657.92920309893,650563.8771270022,430297.7537133857,430297.7537133857,18891.26185845991,18891.26185845991,18891.26185845991,9153.193019700197,9153.193019700197,9153.193019700197,9738.068838759717,9738.068838759717,9738.068838759717,0.0,0.0,0.0,449189.01557184564
21,2000-05-28,430921.166996477,243403.3276843087,656852.2986627156,430921.166996477,430921.166996477,18607.9060757051,18607.9060757051,18607.9060757051,9153.193019700197,9153.193019700197,9153.193019700197,9454.713056004906,9454.713056004906,9454.713056004906,0.0,0.0,0.0,449529.0730721821
22,2000-06-04,431544.5802795683,243274.43596392876,646349.108009054,431544.5802795683,431544.5802795683,18044.17259077449,18044.17259077449,18044.17259077449,9153.1930197002,9153.1930197002,9153.1930197002,8890.979571074296,8890.979571074296,8890.979571074296,0.0,0.0,0.0,449588.7528703428
23,2000-06-11,432167.99356265954,257884.4874642883,645623.3534112582,432167.99356265954,432167.99356265954,15276.555126132216,15276.555126132216,15276.555126132216,9153.1930197002,9153.1930197002,9153.1930197002,6123.362106432021,6123.362106432021,6123.362106432021,0.0,0.0,0.0,447444.54868879175
24,2000-06-18,432791.40684575087,236904.56765735833,645991.5654486647,432791.40684575087,432791.40684575087,11462.787174557507,11462.787174557507,11462.787174557507,9153.1930197002,9153.1930197002,9153.1930197002,2309.5941548573082,2309.5941548573082,2309.5941548573082,0.0,0.0,0.0,444254.1940203084
25,2000-06-25,433414.8201288422,238278.57668678727,646155.9158868133,433414.8201288422,433414.8201288422,9178.44527475189,9178.44527475189,9178.44527475189,9153.1930197002,9153.1930197002,9153.1930197002,25.25225505169092,25.25225505169092,25.25225505169092,0.0,0.0,0.0,442593.26540359406
26,2000-07-02,434038.2334119334,229904.61775117536,639467.0553751342,434038.2334119334,434038.2334119334,8850.65971340967,8850.65971340967,8850.65971340967,9153.1930197002,9153.1930197002,9153.1930197002,-302.5333062905312,-302.5333062905312,-302.5333062905312,0.0,0.0,0.0,442888.8931253431
27,2000-07-09,434661.64669502474,236406.8843161149,632207.2727663142,434661.64669502474,434661.64669502474,8188.764690898815,8188.764690898815,8188.764690898815,9153.1930197002,9153.1930197002,9153.1930197002,-964.428328801384,-964.428328801384,-964.428328801384,0.0,0.0,0.0,442850.41138592357
28,2000-07-16,435285.059978116,231282.65300315947,616995.089866396,435285.059978116,435285.059978116,5363.299316197029,5363.299316197029,5363.299316197029,9153.1930197002,9153.1930197002,9153.1930197002,-3789.8937035031695,-3789.8937035031695,-3789.8937035031695,0.0,0.0,0.0,440648.35929431306
29,2000-07-23,435908.4732612073,231339.83976451535,645253.2590427905,435908.4732612073,435908.4732612073,1552.2577029516506,1552.2577029516506,1552.2577029516506,9153.1930197002,9153.1930197002,9153.1930197002,-7600.935316748548,-7600.935316748548,-7600.935316748548,0.0,0.0,0.0,437460.73096415895
30,2000-07-30,436531.88654429856,227726.01415202577,641914.5550954776,436531.88654429856,436531.88654429856,-663.8808863552935,-663.8808863552935,-663.8808863552935,9153.1930197002,9153.1930197002,9153.1930197002,-9817.073906055492,-9817.073906055492,-9817.073906055492,0.0,0.0,0.0,435868.00565794326
31,2000-08-06,437155.2998273899,216691.5619344684,641160.1380394162,437155.2998273899,437155.2998273899,-887.2877465499182,-887.2877465499182,-887.2877465499182,9153.1930197002,9153.1930197002,9153.1930197002,-10040.480766250115,-10040.480766250115,-10040.480766250115,0.0,0.0,0.0,436268.01208083995
