,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2000-01-02,-185690.20923557837,-1763405.2058727203,-102544.90551736111,-185690.20923557837,-185690.20923557837,-750773.3185900563,-750773.3185900563,-750773.3185900563,-750949.4427982288,-750949.4427982288,-750949.4427982288,176.12420817249063,176.12420817249063,176.12420817249063,0.0,0.0,0.0,-936463.5278256347
1,2000-01-09,-148393.17136758377,-1492046.6369230559,273372.83719819825,-148393.17136758377,-148393.17136758377,-480515.36013298447,-480515.36013298447,-480515.36013298447,-750949.4427982288,-750949.4427982288,-750949.4427982288,270434.08266524423,270434.08266524423,270434.08266524423,0.0,0.0,0.0,-628908.5315005683
2,2000-01-16,-111096.13349958918,-1238477.8567468433,367471.61035929335,-111096.13349958918,-111096.13349958918,-337671.1629832962,-337671.1629832962,-337671.1629832962,-750949.4427982288,-750949.4427982288,-750949.4427982288,413278.2798149326,413278.2798149326,413278.2798149326,0.0,0.0,0.0,-448767.2964828854
3,2000-01-23,-73799.09563159458,-1232410.8618679377,444056.5120507385,-73799.09563159458,-73799.09563159458,-347361.96353968815,-347361.96353968815,-347361.96353968815,-750949.4427982288,-750949.4427982288,-750949.4427982288,403587.4792585406,403587.4792585406,403587.4792585406,0.0,0.0,0.0,-421161.05917128274
4,2000-01-30,-36502.0577636,-1293132.5084799547,360008.88882144046,-36502.0577636,-36502.0577636,-424782.9542121318,-424782.9542121318,-424782.9542121318,-750949.4427982288,-750949.4427982288,-750949.4427982288,326166.48858609697,326166.48858609697,326166.48858609697,0.0,0.0,0.0,-461285.0119757318
5,2000-02-06,794.9801043945864,-1337611.7940587478,325739.3608829381,794.9801043945864,794.9801043945864,-470569.4638049918,-470569.4638049918,-470569.4638049918,-750949.4427982288,-750949.4427982288,-750949.4427982288,280379.978993237,280379.978993237,280379.978993237,0.0,0.0,0.0,-469774.4837005972
6,2000-02-13,38092.0179723892,-1287944.568024412,385081.60383958416,38092.0179723892,38092.0179723892,-460038.6415495778,-460038.6415495778,-460038.6415495778,-750949.4427982288,-750949.4427982288,-750949.4427982288,290910.80124865094,290910.80124865094,290910.80124865094,0.0,0.0,0.0,-421946.62357718864
7,2000-02-20,75389.05584038381,-1199479.9451610863,470090.17926991754,75389.05584038381,75389.05584038381,-439873.3355947678,-439873.3355947678,-439873.3355947678,-750949.4427982288,-750949.4427982288,-750949.4427982288,311076.107203461,311076.107203461,311076.107203461,0.0,0.0,0.0,-364484.279754384
8,2000-02-27,112686.09370837835,-1149442.4487132311,515041.1911430846,112686.09370837835,112686.09370837835,-454752.11951784376,-454752.11951784376,-454752.11951784376,-750949.4427982288,-750949.4427982288,-750949.4427982288,296197.32328038494,296197.32328038494,296197.32328038494,0.0,0.0,0.0,-342066.02580946544
9,2000-03-05,149983.13157637295,-1206336.48992044,465231.7267887874,149983.13157637295,149983.13157637295,-496281.71280529565,-496281.71280529565,-496281.71280529565,-750949.4427982288,-750949.4427982288,-750949.4427982288,254667.72999293308,254667.72999293308,254667.72999293308,0.0,0.0,0.0,-346298.5812289227
10,2000-03-12,187280.16944436752,-1206774.3735222153,506502.8885552784,187280.16944436752,187280.16944436752,-525007.4249473828,-525007.4249473828,-525007.4249473828,-750949.4427982288,-750949.4427982288,-750949.4427982288,225942.01785084594,225942.01785084594,225942.01785084594,0.0,0.0,0.0,-337727.25550301524
11,2000-03-19,224577.20731236218,-1154221.9880508292,503840.6431831788,224577.20731236218,224577.20731236218,-524815.3994309163,-524815.3994309163,-524815.3994309163,-750949.4427982288,-750949.4427982288,-750949.4427982288,226134.04336731244,226134.04336731244,226134.04336731244,0.0,0.0,0.0,-300238.19211855414
12,2000-03-26,261874.24518035678,-1096183.7151362104,564586.7185157094,261874.24518035678,261874.24518035678,-518975.5653197663,-518975.5653197663,-518975.5653197663,-750949.4427982288,-750949.4427982288,-750949.4427982288,231973.87747846244,231973.87747846244,231973.87747846244,0.0,0.0,0.0,-257101.3201394095
13,2000-04-02,299171.28304835135,-1117100.7394747762,565085.6448555108,299171.28304835135,299171.28304835135,-534652.259900467,-534652.259900467,-534652.259900467,-750949.4427982288,-750949.4427982288,-750949.4427982288,216297.18289776184,216297.18289776184,216297.18289776184,0.0,0.0,0.0,-235480.97685211565
14,2000-04-09,336468.320916346,-1020217.9096583478,634581.6164372709,336468.320916346,336468.320916346,-567569.0252907202,-567569.0252907202,-567569.0252907202,-750949.4427982288,-750949.4427982288,-750949.4427982288,183380.41750750854,183380.41750750854,183380.41750750854,0.0,0.0,0.0,-231100.70437437418
15,2000-04-16,373765.35878434044,-1085229.7540857033,629552.8734806735,373765.35878434044,373765.35878434044,-591339.7302668551,-591339.7302668551,-591339.7302668551,-750949.4427982288,-750949.4427982288,-750949.4427982288,159609.7125313736,159609.7125313736,159609.7125313736,0.0,0.0,0.0,-217574.37148251466
16,2000-04-23,411062.396652335,-1008043.2291035741,588592.566110353,411062.396652335,411062.396652335,-594328.9206507899,-594328.9206507899,-594328.9206507899,-750949.4427982288,-750949.4427982288,-750949.4427982288,156620.52214743884,156620.52214743884,156620.52214743884,0.0,0.0,0.0,-183266.52399845485
17,2000-04-30,448359.4345203297,-987081.2161807888,761886.2372953123,448359.4345203297,448359.4345203297,-593683.3674795524,-593683.3674795524,-593683.3674795524,-750949.4427982288,-750949.4427982288,-750949.4427982288,157266.0753186763,157266.0753186763,157266.0753186763,0.0,0.0,0.0,-145323.9329592227
18,2000-05-07,485656.4723883242,-873663.7197617305,723019.8826518124,485656.4723883242,485656.4723883242,-610423.9667862715,-610423.9667862715,-610423.9667862715,-750949.4427982288,-750949.4427982288,-750949.4427982288,140525.4760119572,140525.4760119572,140525.4760119572,0.0,0.0,0.0,-124767.49439794733
19,2000-05-14,522953.5102563189,-941473.2726350818,698329.0038503058,522953.5102563189,522953.5102563189,-641376.9065676255,-641376.9065676255,-641376.9065676255,-750949.4427982288,-750949.4427982288,-750949.4427982288,109572.53623060326,109572.53623060326,109572.53623060326,0.0,0.0,0.0,-118423.39631130657
20,2000-05-21,560250.5481243134,-962760.6175558232,760603.8411750646,560250.5481243134,560250.5481243134,-665074.8701361463,-665074.8701361463,-665074.8701361463,-750949.4427982288,-750949.4427982288,-750949.4427982288,85874.57266208249,85874.57266208249,85874.57266208249,0.0,0.0,0.0,-104824.32201183296
21,2000-05-28,597547.5859923081,-951111.7914478882,804605.5950355672,597547.5859923081,597547.5859923081,-671559.8608701241,-671559.8608701241,-671559.8608701241,-750949.4427982288,-750949.4427982288,-750949.4427982288,79389.58192810469,79389.58192810469,79389.58192810469,0.0,0.0,0.0,-74012.27487781597
22,2000-06-04,634844.6238603026,-946096.2947795703,812793.0970819185,634844.6238603026,634844.6238603026,-675057.7109798639,-675057.7109798639,-675057.7109798639,-750949.4427982288,-750949.4427982288,-750949.4427982288,75891.73181836489,75891.73181836489,75891.73181836489,0.0,0.0,0.0,-40213.08711956127
23,2000-06-11,672141.6617282974,-848615.15788647,825290.0988273289,672141.6617282974,672141.6617282974,-693476.2400540084,-693476.2400540084,-693476.2400540084,-750949.4427982288,-750949.4427982288,-750949.4427982288,57473.20274422028,57473.20274422028,57473.20274422028,0.0,0.0,0.0,-21334.578325711074
24,2000-06-18,709438.6995962919,-815836.8637902972,892503.2572030703,709438.6995962919,709438.6995962919,-723763.0516590298,-723763.0516590298,-723763.0516590298,-750949.4427982288,-750949.4427982288,-750949.4427982288,27186.391139198928,27186.391139198928,27186.391139198928,0.0,0.0,0.0,-14324.352062737918
25,2000-06-25,746735.7374642864,-919501.7625175086,822371.4534998123,746735.7374642864,746735.7374642864,-746600.0881694527,-746600.0881694527,-746600.0881694527,-750949.4427982288,-750949.4427982288,-750949.4427982288,4349.354628775916,4349.354628775916,4349.354628775916,0.0,0.0,0.0,135.64929483365268
26,2000-07-02,784032.7753322811,-784649.2256231128,914101.450166127,784032.7753322811,784032.7753322811,-753258.8134010772,-753258.8134010772,-753258.8134010772,-750949.4427982288,-750949.4427982288,-750949.4427982288,-2309.370602848424,-2309.370602848424,-2309.370602848424,0.0,0.0,0.0,30773.961931203958
27,2000-07-09,821329.8132002755,-759243.04277204,864936.7841797237,821329.8132002755,821329.8132002755,-757529.3762116483,-757529.3762116483,-757529.3762116483,-750949.4427982288,-750949.4427982288,-750949.4427982288,-6579.933413419615,-6579.933413419615,-6579.933413419615,0.0,0.0,0.0,63800.43698862719
28,2000-07-16,858626.8510682703,-695958.2868713962,947362.4119648045,858626.8510682703,858626.8510682703,-776534.0771321704,-776534.0771321704,-776534.0771321704,-750949.4427982288,-750949.4427982288,-750949.4427982288,-25584.634333941744,-25584.634333941744,-25584.634333941744,0.0,0.0,0.0,82092.77393609984
29,2000-07-23,895923.8889362649,-694572.888278874,940779.1954741275,895923.8889362649,895923.8889362649,-806926.5818126999,-806926.5818126999,-806926.5818126999,-750949.4427982288,-750949.4427982288,-750949.4427982288,-55977.13901447117,-55977.13901447117,-55977.13901447117,0.0,0.0,0.0,88997.307123565
30,2000-07-30,933220.9268042593,-758393.8039344786,986407.9677737642,933220.9268042593,933220.9268042593,-829319.277190207,-829319.277190207,-829319.277190207,-750949.4427982288,-750949.4427982288,-750949.4427982288,-78369.83439197837,-78369.83439197837,-78369.83439197837,0.0,0.0,0.0,103901.64961405226
31,2000-08-06,970517.964672254,-735498.3431114983,1015329.3253790461,970517.964672254,970517.964672254,-835135.720205053,-835135.720205053,-835135.720205053,-750949.4427982288,-750949.4427982288,-750949.4427982288,-84186.27740682421,-84186.27740682421,-84186.27740682421,0.0,0.0,0.0,135382.24446720106
