,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2000-01-02,872474.7015272996,726417.9207418846,995054.8076647536,872474.7015272996,872474.7015272996,-10883.966479406012,-10883.966479406012,-10883.966479406012,-7863.564959774752,-7863.564959774752,-7863.564959774752,-3020.40151963126,-3020.40151963126,-3020.40151963126,0.0,0.0,0.0,861590.7350478936
1,2000-01-09,874617.9219848064,751958.1389278192,1002521.6566110002,874617.9219848064,874617.9219848064,6194.048748912756,6194.048748912756,6194.048748912756,-7863.564959774752,-7863.564959774752,-7863.564959774752,14057.613708687508,14057.613708687508,14057.613708687508,0.0,0.0,0.0,880811.9707337192
2,2000-01-16,876761.1424423131,767834.640023402,1018414.4693426298,876761.1424423131,876761.1424423131,16245.886425775683,16245.886425775683,16245.886425775683,-7863.564959774752,-7863.564959774752,-7863.564959774752,24109.45138555044,24109.45138555044,24109.45138555044,0.0,0.0,0.0,893007.0288680888
3,2000-01-23,878904.3628998197,776736.2598931427,1024178.2919445854,878904.3628998197,878904.3628998197,16689.236855433985,16689.236855433985,16689.236855433985,-7863.564959774752,-7863.564959774752,-7863.564959774752,24552.80181520874,24552.80181520874,24552.80181520874,0.0,0.0,0.0,895593.5997552538
4,2000-01-30,881047.5833573266,773483.3625606444,1026895.6912405753,881047.5833573266,881047.5833573266,12105.180670433025,12105.180670433025,12105.180670433025,-7863.564959774752,-7863.564959774752,-7863.564959774752,19968.74563020778,19968.74563020778,19968.74563020778,0.0,0.0,0.0,893152.7640277595
5,2000-02-06,883190.8038148334,777648.1958310162,1017133.7362139982,883190.8038148334,883190.8038148334,8867.272780760675,8867.272780760675,8867.272780760675,-7863.564959774752,-7863.564959774752,-7863.564959774752,16730.83774053543,16730.83774053543,16730.83774053543,0.0,0.0,0.0,892058.0765955941
6,2000-02-13,885334.0242723402,778122.6150654518,1027272.7925921235,885334.0242723402,885334.0242723402,9198.414465426347,9198.414465426347,9198.414465426347,-7863.564959774752,-7863.564959774752,-7863.564959774752,17061.9794252011,17061.9794252011,17061.9794252011,0.0,0.0,0.0,894532.4387377666
7,2000-02-20,887477.2447298471,766208.9624337199,1029965.9526583547,887477.2447298471,887477.2447298471,10572.202316167099,10572.202316167099,10572.202316167099,-7863.564959774752,-7863.564959774752,-7863.564959774752,18435.767275941853,18435.767275941853,18435.767275941853,0.0,0.0,0.0,898049.4470460141
8,2000-02-27,889620.4651873537,774616.0456321558,1028774.5984746973,889620.4651873537,889620.4651873537,9968.934122680857,9968.934122680857,9968.934122680857,-7863.564959774752,-7863.564959774752,-7863.564959774752,17832.49908245561,17832.49908245561,17832.49908245561,0.0,0.0,0.0,899589.3993100345
9,2000-03-05,891763.6856448605,780157.6733472296,1026824.1329387358,891763.6856448605,891763.6856448605,7479.517163963173,7479.517163963173,7479.517163963173,-7863.564959774752,-7863.564959774752,-7863.564959774752,15343.082123737924,15343.082123737924,15343.082123737924,0.0,0.0,0.0,899243.2028088237
10,2000-03-12,893906.9061023672,773083.2755062147,1025587.8030806314,893906.9061023672,893906.9061023672,5487.385179376044,5487.385179376044,5487.385179376044,-7863.564959774752,-7863.564959774752,-7863.564959774752,13350.950139150795,13350.950139150795,13350.950139150795,0.0,0.0,0.0,899394.2912817432
11,2000-03-19,896050.126559874,771332.9206917598,1031959.879793907,896050.126559874,896050.126559874,5306.154763029842,5306.154763029842,5306.154763029842,-7863.564959774752,-7863.564959774752,-7863.564959774752,13169.719722804593,13169.719722804593,13169.719722804593,0.0,0.0,0.0,901356.2813229039
12,2000-03-26,898193.3470173809,784689.6286899268,1030437.0261617249,898193.3470173809,898193.3470173809,5737.404349584809,5737.404349584809,5737.404349584809,-7863.564959774752,-7863.564959774752,-7863.564959774752,13600.96930935956,13600.96930935956,13600.96930935956,0.0,0.0,0.0,903930.7513669657
13,2000-04-02,900336.5674748877,774072.2267620763,1023938.2353725241,900336.5674748877,900336.5674748877,4975.1819801520305,4975.1819801520305,4975.1819801520305,-7863.564959774752,-7863.564959774752,-7863.564959774752,12838.746939926781,12838.746939926781,12838.746939926781,0.0,0.0,0.0,905311.7494550397
14,2000-04-09,902479.7879323943,779140.9622085792,1033828.6219965788,902479.7879323943,902479.7879323943,2995.8737867417685,2995.8737867417685,2995.8737867417685,-7863.564959774752,-7863.564959774752,-7863.564959774752,10859.43874651652,10859.43874651652,10859.43874651652,0.0,0.0,0.0,905475.661719136
15,2000-04-16,904623.0083899011,782244.0255243944,1030900.3936711029,904623.0083899011,904623.0083899011,1366.4939731807697,1366.4939731807697,1366.4939731807697,-7863.564959774752,-7863.564959774752,-7863.564959774752,9230.05893295552,9230.05893295552,9230.05893295552,0.0,0.0,0.0,905989.5023630819
