,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2000-01-02,87576.55806793022,70376.33849135585,106374.53075314205,87576.55806793022,87576.55806793022,1150.1831660306011,1150.1831660306011,1150.1831660306011,1469.3967457924698,1469.3967457924698,1469.3967457924698,-319.21357976186886,-319.21357976186886,-319.21357976186886,0.0,0.0,0.0,88726.74123396083
1,2000-01-09,87672.92964429602,71058.16342086853,106869.42173532724,87672.92964429602,87672.92964429602,1500.6266309352209,1500.6266309352209,1500.6266309352209,1469.3967457924698,1469.3967457924698,1469.3967457924698,31.229885142750796,31.229885142750796,31.229885142750796,0.0,0.0,0.0,89173.55627523124
2,2000-01-16,87769.30122066182,70113.11279150545,106809.20486236387,87769.30122066182,87769.30122066182,1842.3030305388895,1842.3030305388895,1842.3030305388895,1469.3967457924698,1469.3967457924698,1469.3967457924698,372.90628474641943,372.90628474641943,372.90628474641943,0.0,0.0,0.0,89611.60425120071
3,2000-01-23,87865.6727970276,71294.85552213114,108541.90250979707,87865.6727970276,87865.6727970276,1975.0665568470251,1975.0665568470251,1975.0665568470251,1469.3967457924698,1469.3967457924698,1469.3967457924698,505.669811054555,505.669811054555,505.669811054555,0.0,0.0,0.0,89840.73935387463
4,2000-01-30,87962.0443733934,72888.49882803223,107485.23972211393,87962.0443733934,87962.0443733934,1893.0381342128155,1893.0381342128155,1893.0381342128155,1469.3967457924698,1469.3967457924698,1469.3967457924698,423.64138842034555,423.64138842034555,423.64138842034555,0.0,0.0,0.0,89855.0825076062
5,2000-02-06,88058.41594975919,70852.06904934661,107909.49731312518,88058.41594975919,88058.41594975919,1756.4795791096906,1756.4795791096906,1756.4795791096906,1469.3967457924698,1469.3967457924698,1469.3967457924698,287.0828333172206,287.0828333172206,287.0828333172206,0.0,0.0,0.0,89814.89552886887
6,2000-02-13,88154.78752612499,70996.27717246073,107697.59848619656,88154.78752612499,88154.78752612499,1709.5876550111543,1709.5876550111543,1709.5876550111543,1469.3967457924696,1469.3967457924696,1469.3967457924696,240.19090921868423,240.19090921868423,240.19090921868423,0.0,0.0,0.0,89864.37518113614
7,2000-02-20,88251.15910249077,71172.278214655,109037.76855271909,88251.15910249077,88251.15910249077,1750.3649606426516,1750.3649606426516,1750.3649606426516,1469.3967457924696,1469.3967457924696,1469.3967457924696,280.9682148501814,280.9682148501814,280.9682148501814,0.0,0.0,0.0,90001.52406313342
8,2000-02-27,88347.53067885656,72065.80684602229,108542.13547539209,88347.53067885656,88347.53067885656,1777.4029870909314,1777.4029870909314,1777.4029870909314,1469.3967457924696,1469.3967457924696,1469.3967457924696,308.0062412984614,308.0062412984614,308.0062412984614,0.0,0.0,0.0,90124.9336659475
9,2000-03-05,88443.90225522236,71919.2666391247,108458.07282542833,88443.90225522236,88443.90225522236,1730.21451609244,1730.21451609244,1730.21451609244,1469.3967457924698,1469.3967457924698,1469.3967457924698,260.81777029996977,260.81777029996977,260.81777029996977,0.0,0.0,0.0,90174.1167713148
