,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2000-01-02,307371.6858886559,254636.7556444676,351086.38834559626,307371.6858886559,307371.6858886559,-2258.496315911648,-2258.496315911648,-2258.496315911648,-3607.239882039866,-3607.239882039866,-3607.239882039866,1348.7435661282186,1348.7435661282186,1348.7435661282186,0.0,0.0,0.0,305113.18957274425
1,2000-01-09,307643.91416458995,260538.90934841445,356772.3639356435,307643.91416458995,307643.91416458995,680.5046730692387,680.5046730692387,680.5046730692387,-3607.239882039866,-3607.239882039866,-3607.239882039866,4287.744555109105,4287.744555109105,4287.744555109105,0.0,0.0,0.0,308324.4188376592
2,2000-01-16,307916.14244052407,267683.3811360626,356786.7488453877,307916.14244052407,307916.14244052407,1727.5498536661783,1727.5498536661783,1727.5498536661783,-3607.239882039866,-3607.239882039866,-3607.239882039866,5334.789735706045,5334.789735706045,5334.789735706045,0.0,0.0,0.0,309643.69229419023
3,2000-01-23,308188.3707164582,261259.89314634237,355329.0311638704,308188.3707164582,308188.3707164582,1158.1086766257863,1158.1086766257863,1158.1086766257863,-3607.239882039866,-3607.239882039866,-3607.239882039866,4765.3485586656525,4765.3485586656525,4765.3485586656525,0.0,0.0,0.0,309346.47939308395
4,2000-01-30,308460.59899239225,262101.44084237338,357326.1541334706,308460.59899239225,308460.59899239225,255.52022065048467,255.52022065048467,255.52022065048467,-3607.239882039866,-3607.239882039866,-3607.239882039866,3862.7601026903512,3862.7601026903512,3862.7601026903512,0.0,0.0,0.0,308716.1192130427
5,2000-02-06,308732.8272683263,262132.51757765654,355351.59491992596,308732.8272683263,308732.8272683263,-18.53612871064489,-18.53612871064489,-18.53612871064489,-3607.239882039866,-3607.239882039866,-3607.239882039866,3588.703753329222,3588.703753329222,3588.703753329222,0.0,0.0,0.0,308714.29113961564
6,2000-02-13,309005.0555442604,264052.51334487234,356100.2248902397,309005.0555442604,309005.0555442604,241.21765305044576,241.21765305044576,241.21765305044576,-3607.239882039866,-3607.239882039866,-3607.239882039866,3848.4575350903124,3848.4575350903124,3848.4575350903124,0.0,0.0,0.0,309246.27319731086
7,2000-02-20,309277.28382019454,265324.11705928814,357514.8960391057,309277.28382019454,309277.28382019454,356.2504492479711,356.2504492479711,356.2504492479711,-3607.239882039866,-3607.239882039866,-3607.239882039866,3963.4903312878378,3963.4903312878378,3963.4903312878378,0.0,0.0,0.0,309633.5342694425
8,2000-02-27,309549.5120961286,264608.76264363906,356129.0519409983,309549.5120961286,309549.5120961286,-0.11319835985459677,-0.11319835985459677,-0.11319835985459677,-3607.239882039866,-3607.239882039866,-3607.239882039866,3607.126683680012,3607.126683680012,3607.126683680012,0.0,0.0,0.0,309549.39889776875
9,2000-03-05,309821.7403720627,264879.2088514701,356946.7203397659,309821.7403720627,309821.7403720627,-504.7497537734791,-504.7497537734791,-504.7497537734791,-3607.239882039866,-3607.239882039866,-3607.239882039866,3102.4901282663873,3102.4901282663873,3102.4901282663873,0.0,0.0,0.0,309316.9906182892
10,2000-03-12,310093.9686479968,263099.5219928403,353938.1377345107,310093.9686479968,310093.9686479968,-714.1687868175408,-714.1687868175408,-714.1687868175408,-3607.239882039866,-3607.239882039866,-3607.239882039866,2893.0710952223258,2893.0710952223258,2893.0710952223258,0.0,0.0,0.0,309379.79986117926
11,2000-03-19,310366.1969239309,263254.1711966661,356181.4654381793,310366.1969239309,310366.1969239309,-635.3935167006965,-635.3935167006965,-635.3935167006965,-3607.239882039866,-3607.239882039866,-3607.239882039866,2971.84636533917,2971.84636533917,2971.84636533917,0.0,0.0,0.0,309730.8034072302
12,2000-03-26,310638.42519986496,263892.094549872,356874.2152695556,310638.42519986496,310638.42519986496,-643.1915642902461,-643.1915642902461,-643.1915642902461,-3607.239882039866,-3607.239882039866,-3607.239882039866,2964.0483177496203,2964.0483177496203,2964.0483177496203,0.0,0.0,0.0,309995.2336355747
13,2000-04-02,310910.6534757991,262708.8434488203,357574.61956749554,310910.6534757991,310910.6534757991,-948.9360683205045,-948.9360683205045,-948.9360683205045,-3607.239882039866,-3607.239882039866,-3607.239882039866,2658.303813719362,2658.303813719362,2658.303813719362,0.0,0.0,0.0,309961.71740747854
14,2000-04-09,311182.8817517332,264073.25422991364,354819.2718726119,311182.8817517332,311182.8817517332,-1349.2200063887892,-1349.2200063887892,-1349.2200063887892,-3607.239882039866,-3607.239882039866,-3607.239882039866,2258.019875651077,2258.019875651077,2258.019875651077,0.0,0.0,0.0,309833.6617453444
15,2000-04-16,311455.11002766725,262165.39387114235,357382.7861288825,311455.11002766725,311455.11002766725,-1538.2465867865383,-1538.2465867865383,-1538.2465867865383,-3607.239882039866,-3607.239882039866,-3607.239882039866,2068.993295253328,2068.993295253328,2068.993295253328,0.0,0.0,0.0,309916.8634408807
16,2000-04-23,311727.33830360137,262784.77769270627,359480.73681227496,311727.33830360137,311727.33830360137,-1519.8739783950434,-1519.8739783950434,-1519.8739783950434,-3607.239882039866,-3607.239882039866,-3607.239882039866,2087.3659036448225,2087.3659036448225,2087.3659036448225,0.0,0.0,0.0,310207.46432520635
17,2000-04-30,311999.5665795354,262880.5577387523,357183.6554210588,311999.5665795354,311999.5665795354,-1574.8093744970943,-1574.8093744970943,-1574.8093744970943,-3607.239882039866,-3607.239882039866,-3607.239882039866,2032.4305075427724,2032.4305075427724,2032.4305075427724,0.0,0.0,0.0,310424.75720503833
18,2000-05-07,312271.79485546955,264951.5531927342,358478.2228834198,312271.79485546955,312271.79485546955,-1864.2907464571758,-1864.2907464571758,-1864.2907464571758,-3607.239882039866,-3607.239882039866,-3607.239882039866,1742.9491355826906,1742.9491355826906,1742.9491355826906,0.0,0.0,0.0,310407.50410901237
19,2000-05-14,312544.0231314036,261555.3415692849,357418.00473452883,312544.0231314036,312544.0231314036,-2220.3958068263196,-2220.3958068263196,-2220.3958068263196,-3607.239882039866,-3607.239882039866,-3607.239882039866,1386.8440752135468,1386.8440752135468,1386.8440752135468,0.0,0.0,0.0,310323.6273245773
20,2000-05-21,312816.2514073377,263988.4695715145,357725.5203029289,312816.2514073377,312816.2514073377,-2390.0449110181635,-2390.0449110181635,-2390.0449110181635,-3607.239882039866,-3607.239882039866,-3607.239882039866,1217.194971021703,1217.194971021703,1217.194971021703,0.0,0.0,0.0,310426.20649631956
21,2000-05-28,313088.4796832718,260915.51155385788,357935.96334783646,313088.4796832718,313088.4796832718,-2383.6457786993674,-2383.6457786993674,-2383.6457786993674,-3607.239882039866,-3607.239882039866,-3607.239882039866,1223.594103340499,1223.594103340499,1223.594103340499,0.0,0.0,0.0,310704.8339045724
22,2000-06-04,313360.7079592059,265336.5229635464,356491.1844097078,313360.7079592059,313360.7079592059,-2457.2844142488,-2457.2844142488,-2457.2844142488,-3607.239882039866,-3607.239882039866,-3607.239882039866,1149.9554677910664,1149.9554677910664,1149.9554677910664,0.0,0.0,0.0,310903.4235449571
23,2000-06-11,313632.93623514,263084.82633206085,357368.0150422638,313632.93623514,313632.93623514,-2765.4214404961485,-2765.4214404961485,-2765.4214404961485,-3607.239882039866,-3607.239882039866,-3607.239882039866,841.8184415437178,841.8184415437178,841.8184415437178,0.0,0.0,0.0,310867.51479464385
24,2000-06-18,313905.1645110741,265195.96695153276,358588.4128716214,313905.1645110741,313905.1645110741,-3159.6454611281238,-3159.6454611281238,-3159.6454611281238,-3607.239882039866,-3607.239882039866,-3607.239882039866,447.5944209117427,447.5944209117427,447.5944209117427,0.0,0.0,0.0,310745.5190499459
25,2000-06-25,314177.39278700814,264842.3211304687,355570.23504916724,314177.39278700814,314177.39278700814,-3398.3083149502036,-3398.3083149502036,-3398.3083149502036,-3607.239882039866,-3607.239882039866,-3607.239882039866,208.93156708966296,208.93156708966296,208.93156708966296,0.0,0.0,0.0,310779.08447205793
26,2000-07-02,314449.62106294226,265568.9584669749,355401.7387037716,314449.62106294226,314449.62106294226,-3473.315726367719,-3473.315726367719,-3473.315726367719,-3607.239882039866,-3607.239882039866,-3607.239882039866,133.92415567214763,133.92415567214763,133.92415567214763,0.0,0.0,0.0,310976.30533657456
27,2000-07-09,314721.8493388764,265143.98172085686,357825.9798954707,314721.8493388764,314721.8493388764,-3610.2128376166233,-3610.2128376166233,-3610.2128376166233,-3607.239882039866,-3607.239882039866,-3607.239882039866,-2.9729555767570006,-2.9729555767570006,-2.9729555767570006,0.0,0.0,0.0,311111.63650125975
28,2000-07-16,314994.07761481043,265114.4479879268,357904.26510223304,314994.07761481043,314994.07761481043,-3948.7803534786103,-3948.7803534786103,-3948.7803534786103,-3607.239882039866,-3607.239882039866,-3607.239882039866,-341.5404714387439,-341.5404714387439,-341.5404714387439,0.0,0.0,0.0,311045.2972613318
29,2000-07-23,315266.30589074455,265591.18914874643,358863.06616748497,315266.30589074455,315266.30589074455,-4346.008361914105,-4346.008361914105,-4346.008361914105,-3607.239882039866,-3607.239882039866,-3607.239882039866,-738.7684798742384,-738.7684798742384,-738.7684798742384,0.0,0.0,0.0,310920.2975288305
30,2000-07-30,315538.5341666786,263330.5868630243,358292.24583139183,315538.5341666786,315538.5341666786,-4573.037036013367,-4573.037036013367,-4573.037036013367,-3607.239882039866,-3607.239882039866,-3607.239882039866,-965.7971539734996,-965.7971539734996,-965.7971539734996,0.0,0.0,0.0,310965.49713066523
31,2000-08-06,315810.76244261273,265958.73957931955,359545.9551533314,315810.76244261273,315810.76244261273,-4635.692350005201,-4635.692350005201,-4635.692350005201,-3607.239882039866,-3607.239882039866,-3607.239882039866,-1028.4524679653337,-1028.4524679653337,-1028.4524679653337,0.0,0.0,0.0,311175.0700926075
32,2000-08-13,316082.9907185468,262103.0826199487,359290.0586265102,316082.9907185468,316082.9907185468,-4773.5461867710665,-4773.5461867710665,-4773.5461867710665,-3607.239882039866,-3607.239882039866,-3607.239882039866,-1166.3063047312,-1166.3063047312,-1166.3063047312,0.0,0.0,0.0,311309.4445317757
33,2000-08-20,316355.2189944809,265272.6031915788,359912.58421056636,316355.2189944809,316355.2189944809,-5129.58910535321,-5129.58910535321,-5129.58910535321,-3607.239882039866,-3607.239882039866,-3607.239882039866,-1522.3492233133431,-1522.3492233133431,-1522.3492233133431,0.0,0.0,0.0,311225.6298891277
34,2000-08-27,316627.447270415,263158.0599888453,355535.61132214306,316627.447270415,316627.447270415,-5542.199315429823,-5542.199315429823,-5542.199315429823,-3607.239882039866,-3607.239882039866,-3607.239882039866,-1934.9594333899568,-1934.9594333899568,-1934.9594333899568,0.0,0.0,0.0,311085.2479549852
35,2000-09-03,316899.675546349,266561.5171728008,360608.6356789688,316899.675546349,316899.675546349,-5758.2339926008735,-5758.2339926008735,-5758.2339926008735,-3607.239882039866,-3607.239882039866,-3607.239882039866,-2150.9941105610064,-2150.9941105610064,-2150.9941105610064,0.0,0.0,0.0,311141.44155374815
36,2000-09-10,317171.90382248483,262075.04468637958,360517.91494511976,317171.90382248483,317171.90382248483,-5789.341515308927,-5789.341515308927,-5789.341515308927,-3607.239882039866,-3607.239882039866,-3607.239882039866,-2182.101633269061,-2182.101633269061,-2182.101633269061,0.0,0.0,0.0,311382.5623071759
37,2000-09-17,317444.13209862064,265561.22694379906,357260.16194461624,317444.13209862064,317444.13209862064,-5915.1596917346715,-5915.1596917346715,-5915.1596917346715,-3607.239882039866,-3607.239882039866,-3607.239882039866,-2307.9198096948044,-2307.9198096948044,-2307.9198096948044,0.0,0.0,0.0,311528.972406886
38,2000-09-24,317716.3603747564,262084.40808085253,361103.9967409594,317716.3603747564,317716.3603747564,-6301.305901379376,-6301.305901379376,-6301.305901379376,-3607.239882039866,-3607.239882039866,-3607.239882039866,-2694.06601933951,-2694.06601933951,-2694.06601933951,0.0,0.0,0.0,311415.054473377
