,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2000-01-02,9393373.114687275,8794525.992134605,10693362.46606796,9393373.114687275,9393373.114687275,374005.9729096234,374005.9729096234,374005.9729096234,338552.9870513004,338552.9870513004,338552.9870513004,35452.98585832295,35452.98585832295,35452.98585832295,0.0,0.0,0.0,9767379.087596899
1,2000-01-09,9380743.683698775,8864239.568823405,10785370.079165176,9380743.683698775,9380743.683698775,487721.9772989832,487721.9772989832,487721.9772989832,338552.9870513004,338552.9870513004,338552.9870513004,149168.99024768276,149168.99024768276,149168.99024768276,0.0,0.0,0.0,9868465.660997758
2,2000-01-16,9368114.252710275,8912228.833879283,10809146.433350015,9368114.252710275,9368114.252710275,531182.0856464322,531182.0856464322,531182.0856464322,338552.9870513004,338552.9870513004,338552.9870513004,192629.0985951318,192629.0985951318,192629.0985951318,0.0,0.0,0.0,9899296.338356707
3,2000-01-23,9355484.821721775,8934406.92400291,10810934.00553076,9355484.821721775,9355484.821721775,511367.16131076595,511367.16131076595,511367.16131076595,338552.9870513004,338552.9870513004,338552.9870513004,172814.1742594655,172814.1742594655,172814.1742594655,0.0,0.0,0.0,9866851.983032541
4,2000-01-30,9342855.390733276,8880889.826487387,10772970.71511405,9342855.390733276,9342855.390733276,476173.18025087373,476173.18025087373,476173.18025087373,338552.9870513004,338552.9870513004,338552.9870513004,137620.1931995733,137620.1931995733,137620.1931995733,0.0,0.0,0.0,9819028.57098415
5,2000-02-06,9330225.959744776,8824639.87339493,10750054.90516227,9330225.959744776,9330225.959744776,464099.0015477208,464099.0015477208,464099.0015477208,338552.9870513004,338552.9870513004,338552.9870513004,125546.01449642038,125546.01449642038,125546.01449642038,0.0,0.0,0.0,9794324.961292496
6,2000-02-13,9317596.528756276,8873882.804866912,10664083.86786812,9317596.528756276,9317596.528756276,473699.9955891668,473699.9955891668,473699.9955891668,338552.9870513004,338552.9870513004,338552.9870513004,135147.00853786632,135147.00853786632,135147.00853786632,0.0,0.0,0.0,9791296.524345443
7,2000-02-20,9304967.097767776,8813077.318335334,10681631.267412776,9304967.097767776,9304967.097767776,479247.6300123964,479247.6300123964,479247.6300123964,338552.9870513004,338552.9870513004,338552.9870513004,140694.64296109593,140694.64296109593,140694.64296109593,0.0,0.0,0.0,9784214.727780173
8,2000-02-27,9292337.666779276,8834865.687184246,10689038.038974224,9292337.666779276,9292337.666779276,466709.74238412804,466709.74238412804,466709.74238412804,338552.9870513004,338552.9870513004,338552.9870513004,128156.75533282758,128156.75533282758,128156.75533282758,0.0,0.0,0.0,9759047.409163404
9,2000-03-05,9279708.235790776,8742111.615377013,10660475.270812573,9279708.235790776,9279708.235790776,447280.31643652444,447280.31643652444,447280.31643652444,338552.9870513004,338552.9870513004,338552.9870513004,108727.32938522397,108727.32938522397,108727.32938522397,0.0,0.0,0.0,9726988.5522273
10,2000-03-12,9267078.804802276,8745287.629926767,10644076.507956272,9267078.804802276,9267078.804802276,438447.16116350325,438447.16116350325,438447.16116350325,338552.9870513004,338552.9870513004,338552.9870513004,99894.1741122028,99894.1741122028,99894.1741122028,0.0,0.0,0.0,9705525.96596578
11,2000-03-19,9254449.373813776,8735687.930487694,10661287.876994623,9254449.373813776,9254449.373813776,441245.95161652623,441245.95161652623,441245.95161652623,338552.9870513004,338552.9870513004,338552.9870513004,102692.96456522575,102692.96456522575,102692.96456522575,0.0,0.0,0.0,9695695.325430302
12,2000-03-26,9241819.942825276,8761745.00286936,10554798.309394695,9241819.942825276,9241819.942825276,441700.91006176296,441700.91006176296,441700.91006176296,338552.9870513004,338552.9870513004,338552.9870513004,103147.92301046246,103147.92301046246,103147.92301046246,0.0,0.0,0.0,9683520.85288704
13,2000-04-02,9229190.511836777,8683531.371739017,10643240.550312208,9229190.511836777,9229190.511836777,430810.6693273781,430810.6693273781,430810.6693273781,338552.9870513004,338552.9870513004,338552.9870513004,92257.68227607763,92257.68227607763,92257.68227607763,0.0,0.0,0.0,9660001.181164155
14,2000-04-09,9216561.080848277,8729139.633980889,10593324.765616493,9216561.080848277,9216561.080848277,415470.7567618562,415470.7567618562,415470.7567618562,338552.9870513004,338552.9870513004,338552.9870513004,76917.76971055572,76917.76971055572,76917.76971055572,0.0,0.0,0.0,9632031.837610133
15,2000-04-16,9203931.649859779,8728093.070179738,10590270.402702196,9203931.649859779,9203931.649859779,407656.3134196759,407656.3134196759,407656.3134196759,338552.9870513004,338552.9870513004,338552.9870513004,69103.32636837548,69103.32636837548,69103.32636837548,0.0,0.0,0.0,9611587.963279454
16,2000-04-23,9191302.218871279,8574472.586597884,10503983.532478523,9191302.218871279,9191302.218871279,408202.6203319633,408202.6203319633,408202.6203319633,338552.9870513004,338552.9870513004,338552.9870513004,69649.63328066283,69649.63328066283,69649.63328066283,0.0,0.0,0.0,9599504.839203242
17,2000-04-30,9178672.787882779,8653576.667397259,10502592.512173405,9178672.787882779,9178672.787882779,406732.49451309466,406732.49451309466,406732.49451309466,338552.9870513004,338552.9870513004,338552.9870513004,68179.50746179414,68179.50746179414,68179.50746179414,0.0,0.0,0.0,9585405.282395873
18,2000-05-07,9166043.356894279,8562455.515604079,10497734.503160466,9166043.356894279,9166043.356894279,396393.53458901506,396393.53458901506,396393.53458901506,338552.9870513004,338552.9870513004,338552.9870513004,57840.54753771459,57840.54753771459,57840.54753771459,0.0,0.0,0.0,9562436.891483294
19,2000-05-14,9153413.925905777,8529511.754051546,10511785.732388947,9153413.925905777,9153413.925905777,382855.2711812507,382855.2711812507,382855.2711812507,338552.9870513004,338552.9870513004,338552.9870513004,44302.2841299502,44302.2841299502,44302.2841299502,0.0,0.0,0.0,9536269.197087027
20,2000-05-21,9140784.494917277,8546156.326222079,10429451.671865162,9140784.494917277,9140784.494917277,376016.29819496896,376016.29819496896,376016.29819496896,338552.9870513004,338552.9870513004,338552.9870513004,37463.31114366855,37463.31114366855,37463.31114366855,0.0,0.0,0.0,9516800.793112246
21,2000-05-28,9128155.063928777,8568990.038273346,10455306.124941243,9128155.063928777,9128155.063928777,376429.29869257414,376429.29869257414,376429.29869257414,338552.9870513004,338552.9870513004,338552.9870513004,37876.311641273714,37876.311641273714,37876.311641273714,0.0,0.0,0.0,9504584.362621352
22,2000-06-04,9115525.632940277,8513867.389544064,10416407.662510956,9115525.632940277,9115525.632940277,374831.2028642412,374831.2028642412,374831.2028642412,338552.9870513004,338552.9870513004,338552.9870513004,36278.21581294077,36278.21581294077,36278.21581294077,0.0,0.0,0.0,9490356.835804518
