,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2000-01-02,426160.1485953076,362111.3571196814,459300.36244890274,426160.1485953076,426160.1485953076,-13959.752801284289,-13959.752801284289,-13959.752801284289,-13555.357396722473,-13555.357396722473,-13555.357396722473,-404.395404561816,-404.395404561816,-404.395404561816,0.0,0.0,0.0,412200.3957940233
1,2000-01-09,426916.89000761654,362173.3366655554,465375.07156314235,426916.89000761654,426916.89000761654,-12243.03600159242,-12243.03600159242,-12243.03600159242,-13555.357396722473,-13555.357396722473,-13555.357396722473,1312.3213951300531,1312.3213951300531,1312.3213951300531,0.0,0.0,0.0,414673.85400602414
2,2000-01-16,427673.63141992554,367493.7881371268,466731.93995362,427673.63141992554,427673.63141992554,-11035.536797057488,-11035.536797057488,-11035.536797057488,-13555.357396722473,-13555.357396722473,-13555.357396722473,2519.8205996649845,2519.8205996649845,2519.8205996649845,0.0,0.0,0.0,416638.09462286806
3,2000-01-23,428430.3728322345,365973.4531097659,469390.6055587,428430.3728322345,428430.3728322345,-10809.452289432304,-10809.452289432304,-10809.452289432304,-13555.357396722473,-13555.357396722473,-13555.357396722473,2745.905107290168,2745.905107290168,2745.905107290168,0.0,0.0,0.0,417620.9205428022
4,2000-01-30,429187.1142445435,366737.3518063709,470250.1365547628,429187.1142445435,429187.1142445435,-11275.490662133814,-11275.490662133814,-11275.490662133814,-13555.357396722473,-13555.357396722473,-13555.357396722473,2279.8667345886574,2279.8667345886574,2279.8667345886574,0.0,0.0,0.0,417911.6235824097
5,2000-02-06,429943.8556568524,369226.0569724362,467068.2902553168,429943.8556568524,429943.8556568524,-11765.119022626812,-11765.119022626812,-11765.119022626812,-13555.357396722473,-13555.357396722473,-13555.357396722473,1790.2383740956604,1790.2383740956604,1790.2383740956604,0.0,0.0,0.0,418178.7366342256
6,2000-02-13,430700.5970691614,367362.7250024489,468872.62742077553,430700.5970691614,430700.5970691614,-11889.684990191454,-11889.684990191454,-11889.684990191454,-13555.357396722473,-13555.357396722473,-13555.357396722473,1665.6724065310184,1665.6724065310184,1665.6724065310184,0.0,0.0,0.0,418810.91207897
7,2000-02-20,431457.33848147036,368607.65587020345,466775.78963371407,431457.33848147036,431457.33848147036,-11793.51581952458,-11793.51581952458,-11793.51581952458,-13555.357396722473,-13555.357396722473,-13555.357396722473,1761.8415771978923,1761.8415771978923,1761.8415771978923,0.0,0.0,0.0,419663.8226619458
8,2000-02-27,432214.07989377936,371143.71456920914,473730.97232444066,432214.07989377936,432214.07989377936,-11827.047341551297,-11827.047341551297,-11827.047341551297,-13555.357396722473,-13555.357396722473,-13555.357396722473,1728.3100551711755,1728.3100551711755,1728.3100551711755,0.0,0.0,0.0,420387.0325522281
9,2000-03-05,432970.8213060883,371973.04310259456,471448.5385927583,432970.8213060883,432970.8213060883,-12097.27701259432,-12097.27701259432,-12097.27701259432,-13555.357396722473,-13555.357396722473,-13555.357396722473,1458.0803841281518,1458.0803841281518,1458.0803841281518,0.0,0.0,0.0,420873.54429349396
10,2000-03-12,433727.5627183973,372217.2134015976,470506.46001283237,433727.5627183973,433727.5627183973,-12401.315986465574,-12401.315986465574,-12401.315986465574,-13555.357396722473,-13555.357396722473,-13555.357396722473,1154.0414102568975,1154.0414102568975,1154.0414102568975,0.0,0.0,0.0,421326.24673193175
11,2000-03-19,434484.30413070624,368487.78466567653,470645.9684249819,434484.30413070624,434484.30413070624,-12534.326712084729,-12534.326712084729,-12534.326712084729,-13555.357396722473,-13555.357396722473,-13555.357396722473,1021.0306846377428,1021.0306846377428,1021.0306846377428,0.0,0.0,0.0,421949.97741862154
12,2000-03-26,435241.04554301524,374739.43357064604,477250.86239641864,435241.04554301524,435241.04554301524,-12540.79940635694,-12540.79940635694,-12540.79940635694,-13555.357396722473,-13555.357396722473,-13555.357396722473,1014.557990365532,1014.557990365532,1014.557990365532,0.0,0.0,0.0,422700.2461366583
13,2000-04-02,435997.7869553243,376715.88857131836,474563.48871482897,435997.7869553243,435997.7869553243,-12618.786009713842,-12618.786009713842,-12618.786009713842,-13555.357396722473,-13555.357396722473,-13555.357396722473,936.5713870086311,936.5713870086311,936.5713870086311,0.0,0.0,0.0,423379.00094561046
14,2000-04-09,436754.52836763323,371747.3330249176,470990.1356737755,436754.52836763323,436754.52836763323,-12848.044732146636,-12848.044732146636,-12848.044732146636,-13555.357396722473,-13555.357396722473,-13555.357396722473,707.3126645758348,707.3126645758348,707.3126645758348,0.0,0.0,0.0,423906.48363548657
