,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2000-01-02,406123.0936525275,383270.69287871866,434563.78307730507,406123.0936525275,406123.0936525275,2758.7837825650477,2758.7837825650477,2758.7837825650477,2080.6059303487646,2080.6059303487646,2080.6059303487646,678.1778522162829,678.1778522162829,678.1778522162829,0.0,0.0,0.0,408881.8774350925
1,2000-01-09,406137.94313905726,385316.40542269335,438852.396961764,406137.94313905726,406137.94313905726,5592.951205088456,5592.951205088456,5592.951205088456,2080.6059303487646,2080.6059303487646,2080.6059303487646,3512.34527473969,3512.34527473969,3512.34527473969,0.0,0.0,0.0,411730.8943441457
2,2000-01-16,406152.792625587,385408.8676399744,440854.3559836219,406152.792625587,406152.792625587,6743.086504012432,6743.086504012432,6743.086504012432,2080.6059303487646,2080.6059303487646,2080.6059303487646,4662.480573663666,4662.480573663666,4662.480573663666,0.0,0.0,0.0,412895.87912959943
3,2000-01-23,406167.6421121168,385946.9459393608,440267.76770406694,406167.6421121168,406167.6421121168,6313.404248756113,6313.404248756113,6313.404248756113,2080.6059303487646,2080.6059303487646,2080.6059303487646,4232.798318407346,4232.798318407346,4232.798318407346,0.0,0.0,0.0,412481.0463608729
4,2000-01-30,406182.49159864656,385401.904833367,441480.0991803872,406182.49159864656,406182.49159864656,5454.35453325626,5454.35453325626,5454.35453325626,2080.6059303487646,2080.6059303487646,2080.6059303487646,3373.7486029074944,3373.7486029074944,3373.7486029074944,0.0,0.0,0.0,411636.8461319028
5,2000-02-06,406197.3410851764,384115.3678547122,435689.44050504646,406197.3410851764,406197.3410851764,5141.84185865215,5141.84185865215,5141.84185865215,2080.6059303487646,2080.6059303487646,2080.6059303487646,3061.2359283033848,3061.2359283033848,3061.2359283033848,0.0,0.0,0.0,411339.1829438285
6,2000-02-13,406212.1905717061,383739.19337186974,438073.16057244944,406212.1905717061,406212.1905717061,5382.389679878576,5382.389679878576,5382.389679878576,2080.6059303487646,2080.6059303487646,2080.6059303487646,3301.783749529811,3301.783749529811,3301.783749529811,0.0,0.0,0.0,411594.5802515847
7,2000-02-20,406227.04005823587,385202.7002497062,437194.9593079595,406227.04005823587,406227.04005823587,5550.633660808658,5550.633660808658,5550.633660808658,2080.6059303487646,2080.6059303487646,2080.6059303487646,3470.0277304598926,3470.0277304598926,3470.0277304598926,0.0,0.0,0.0,411777.67371904454
8,2000-02-27,406241.88954476564,386127.09541939874,435811.59708544286,406241.88954476564,406241.88954476564,5274.714420275747,5274.714420275747,5274.714420275747,2080.6059303487646,2080.6059303487646,2080.6059303487646,3194.1084899269817,3194.1084899269817,3194.1084899269817,0.0,0.0,0.0,411516.6039650414
9,2000-03-05,406256.7390312954,384618.53094284347,436108.755045577,406256.7390312954,406256.7390312954,4807.997392946885,4807.997392946885,4807.997392946885,2080.6059303487646,2080.6059303487646,2080.6059303487646,2727.3914625981206,2727.3914625981206,2727.3914625981206,0.0,0.0,0.0,411064.7364242423
10,2000-03-12,406271.5885178252,384451.828038509,437123.0844703466,406271.5885178252,406271.5885178252,4589.050708999282,4589.050708999282,4589.050708999282,2080.6059303487646,2080.6059303487646,2080.6059303487646,2508.4447786505166,2508.4447786505166,2508.4447786505166,0.0,0.0,0.0,410860.63922682445
11,2000-03-19,406286.4380043549,384005.6228916969,438141.75852008787,406286.4380043549,406286.4380043549,4666.547517846734,4666.547517846734,4666.547517846734,2080.6059303487646,2080.6059303487646,2080.6059303487646,2585.9415874979686,2585.9415874979686,2585.9415874979686,0.0,0.0,0.0,410952.98552220163
12,2000-03-26,406301.28749088466,383636.3780970837,436336.6200606574,406301.28749088466,406301.28749088466,4703.327818368785,4703.327818368785,4703.327818368785,2080.6059303487646,2080.6059303487646,2080.6059303487646,2622.72188802002,2622.72188802002,2622.72188802002,0.0,0.0,0.0,411004.61530925345
13,2000-04-02,406316.1369774144,384932.03359674674,439286.91348384746,406316.1369774144,406316.1369774144,4461.88881072446,4461.88881072446,4461.88881072446,2080.6059303487646,2080.6059303487646,2080.6059303487646,2381.2828803756947,2381.2828803756947,2381.2828803756947,0.0,0.0,0.0,410778.0257881389
14,2000-04-09,406330.98646394425,384617.6354759903,438568.25143395073,406330.98646394425,406330.98646394425,4096.546710249799,4096.546710249799,4096.546710249799,2080.6059303487646,2080.6059303487646,2080.6059303487646,2015.940779901033,2015.940779901033,2015.940779901033,0.0,0.0,0.0,410427.53317419405
15,2000-04-16,406345.835950474,383667.95201544766,435753.5507443276,406345.835950474,406345.835950474,3907.1071263666768,3907.1071263666768,3907.1071263666768,2080.6059303487646,2080.6059303487646,2080.6059303487646,1826.5011960179118,1826.5011960179118,1826.5011960179118,0.0,0.0,0.0,410252.9430768407
16,2000-04-23,406360.6854370038,383896.6072269275,437266.6696000779,406360.6854370038,406360.6854370038,3931.0035685449943,3931.0035685449943,3931.0035685449943,2080.6059303487646,2080.6059303487646,2080.6059303487646,1850.3976381962286,1850.3976381962286,1850.3976381962286,0.0,0.0,0.0,410291.6890055488
17,2000-04-30,406375.53492353356,384385.9567473836,437082.70844346686,406375.53492353356,406375.53492353356,3918.322610233167,3918.322610233167,3918.322610233167,2080.605930348765,2080.605930348765,2080.605930348765,1837.716679884402,1837.716679884402,1837.716679884402,0.0,0.0,0.0,410293.8575337667
18,2000-05-07,406390.38441006327,382111.61288493953,437224.5867359474,406390.38441006327,406390.38441006327,3688.251353725094,3688.251353725094,3688.251353725094,2080.605930348765,2080.605930348765,2080.605930348765,1607.6454233763288,1607.6454233763288,1607.6454233763288,0.0,0.0,0.0,410078.63576378836
