,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2000-01-02,207870.40175964663,189980.10208225693,213402.98407606574,207870.40175964663,207870.40175964663,-5732.272251260062,-5732.272251260062,-5732.272251260062,-4866.556818714244,-4866.556818714244,-4866.556818714244,-865.7154325458182,-865.7154325458182,-865.7154325458182,0.0,0.0,0.0,202138.12950838657
1,2000-01-09,208175.9105302236,190372.54209091063,215643.11115061873,208175.9105302236,208175.9105302236,-5826.9923323057355,-5826.9923323057355,-5826.9923323057355,-4866.556818714244,-4866.556818714244,-4866.556818714244,-960.4355135914913,-960.4355135914913,-960.4355135914913,0.0,0.0,0.0,202348.91819791787
2,2000-01-16,208481.4193008006,190500.54540534774,215515.4608598657,208481.4193008006,208481.4193008006,-5470.450383395389,-5470.450383395389,-5470.450383395389,-4866.556818714244,-4866.556818714244,-4866.556818714244,-603.8935646811436,-603.8935646811436,-603.8935646811436,0.0,0.0,0.0,203010.9689174052
3,2000-01-23,208786.92807137754,191635.69543171776,216703.3996078791,208786.92807137754,208786.92807137754,-5076.3010374576315,-5076.3010374576315,-5076.3010374576315,-4866.556818714244,-4866.556818714244,-4866.556818714244,-209.74421874338663,-209.74421874338663,-209.74421874338663,0.0,0.0,0.0,203710.6270339199
4,2000-01-30,209092.43684195454,192255.25496602786,216016.86156210417,209092.43684195454,209092.43684195454,-4979.817950664626,-4979.817950664626,-4979.817950664626,-4866.556818714244,-4866.556818714244,-4866.556818714244,-113.26113195038059,-113.26113195038059,-113.26113195038059,0.0,0.0,0.0,204112.61889128992
5,2000-02-06,209397.9456125315,191922.66686305185,216634.26644588268,209397.9456125315,209397.9456125315,-5147.000711460464,-5147.000711460464,-5147.000711460464,-4866.556818714244,-4866.556818714244,-4866.556818714244,-280.44389274621903,-280.44389274621903,-280.44389274621903,0.0,0.0,0.0,204250.94490107105
6,2000-02-13,209703.45438310847,192684.38598310045,216543.87188618313,209703.45438310847,209703.45438310847,-5299.024846758074,-5299.024846758074,-5299.024846758074,-4866.556818714244,-4866.556818714244,-4866.556818714244,-432.46802804383015,-432.46802804383015,-432.46802804383015,0.0,0.0,0.0,204404.4295363504
7,2000-02-20,210008.96315368547,193083.85153630388,216757.28649825772,210008.96315368547,210008.96315368547,-5259.050236769772,-5259.050236769772,-5259.050236769772,-4866.556818714244,-4866.556818714244,-4866.556818714244,-392.49341805552626,-392.49341805552626,-392.49341805552626,0.0,0.0,0.0,204749.9129169157
8,2000-02-27,210314.4719242624,193125.76807181432,218098.8296642766,210314.4719242624,210314.4719242624,-5115.991501678514,-5115.991501678514,-5115.991501678514,-4866.556818714244,-4866.556818714244,-4866.556818714244,-249.4346829642705,-249.4346829642705,-249.4346829642705,0.0,0.0,0.0,205198.4804225839
9,2000-03-05,210619.9806948394,192760.93718477988,217952.12463507365,210619.9806948394,210619.9806948394,-5061.000004507138,-5061.000004507138,-5061.000004507138,-4866.556818714244,-4866.556818714244,-4866.556818714244,-194.44318579289367,-194.44318579289367,-194.44318579289367,0.0,0.0,0.0,205558.98069033228
10,2000-03-12,210925.48946541638,193736.0535308713,217552.61778753265,210925.48946541638,210925.48946541638,-5140.520302628835,-5140.520302628835,-5140.520302628835,-4866.556818714244,-4866.556818714244,-4866.556818714244,-273.96348391459077,-273.96348391459077,-273.96348391459077,0.0,0.0,0.0,205784.96916278754
