,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2000-01-02,267021.64722409874,251919.74096894378,279481.29055334657,267021.64722409874,267021.64722409874,-1103.0365893524142,-1103.0365893524142,-1103.0365893524142,-845.8230909358385,-845.8230909358385,-845.8230909358385,-257.2134984165757,-257.2134984165757,-257.2134984165757,0.0,0.0,0.0,265918.6106347463
1,2000-01-09,267098.44157881197,251963.348484691,279739.05252251186,267098.44157881197,267098.44157881197,-1781.8225359491505,-1781.8225359491505,-1781.8225359491505,-845.8230909358385,-845.8230909358385,-845.8230909358385,-935.9994450133116,-935.9994450133116,-935.9994450133116,0.0,0.0,0.0,265316.6190428628
2,2000-01-16,267175.2359335252,252183.27924518523,278420.7894779185,267175.2359335252,267175.2359335252,-1990.7329919221957,-1990.7329919221957,-1990.7329919221957,-845.8230909358385,-845.8230909358385,-845.8230909358385,-1144.9099009863567,-1144.9099009863567,-1144.9099009863567,0.0,0.0,0.0,265184.502941603
3,2000-01-23,267252.0302882385,251946.73036519825,278398.7769208915,267252.0302882385,267252.0302882385,-1825.3477891572738,-1825.3477891572738,-1825.3477891572738,-845.8230909358385,-845.8230909358385,-845.8230909358385,-979.524698221435,-979.524698221435,-979.524698221435,0.0,0.0,0.0,265426.6824990812
4,2000-01-30,267328.8246429517,252313.8265350707,278326.5875244888,267328.8246429517,267328.8246429517,-1612.8842072294674,-1612.8842072294674,-1612.8842072294674,-845.8230909358385,-845.8230909358385,-845.8230909358385,-767.0611162936286,-767.0611162936286,-767.0611162936286,0.0,0.0,0.0,265715.94043572224
5,2000-02-06,267405.618997665,252739.35417825036,279507.38681680086,267405.618997665,267405.618997665,-1575.9538825526804,-1575.9538825526804,-1575.9538825526804,-845.8230909358385,-845.8230909358385,-845.8230909358385,-730.130791616842,-730.130791616842,-730.130791616842,0.0,0.0,0.0,265829.6651151123
6,2000-02-13,267482.41335237824,252467.43067866986,279185.4292664922,267482.41335237824,267482.41335237824,-1667.2574711042976,-1667.2574711042976,-1667.2574711042976,-845.8230909358386,-845.8230909358386,-845.8230909358386,-821.4343801684586,-821.4343801684586,-821.4343801684586,0.0,0.0,0.0,265815.15588127397
7,2000-02-20,267559.20770709147,251847.27800619905,279896.56706621783,267559.20770709147,267559.20770709147,-1708.6209540564955,-1708.6209540564955,-1708.6209540564955,-845.8230909358386,-845.8230909358386,-845.8230909358386,-862.797863120657,-862.797863120657,-862.797863120657,0.0,0.0,0.0,265850.58675303496
8,2000-02-27,267636.0020618047,252612.14003088433,278842.21854974964,267636.0020618047,267636.0020618047,-1627.6084919050431,-1627.6084919050431,-1627.6084919050431,-845.8230909358385,-845.8230909358385,-845.8230909358385,-781.7854009692046,-781.7854009692046,-781.7854009692046,0.0,0.0,0.0,266008.39356989966
9,2000-03-05,267712.796416518,252348.8415757685,280345.20044878375,267712.796416518,267712.796416518,-1516.9116487421445,-1516.9116487421445,-1516.9116487421445,-845.8230909358385,-845.8230909358385,-845.8230909358385,-671.0885578063061,-671.0885578063061,-671.0885578063061,0.0,0.0,0.0,266195.88476777583
10,2000-03-12,267789.5907712312,251730.15373818454,280386.13731523417,267789.5907712312,267789.5907712312,-1487.9703268338335,-1487.9703268338335,-1487.9703268338335,-845.8230909358385,-845.8230909358385,-845.8230909358385,-642.1472358979947,-642.1472358979947,-642.1472358979947,0.0,0.0,0.0,266301.6204443974
11,2000-03-19,267866.38512594445,253165.61992099465,280312.79512833874,267866.38512594445,267866.38512594445,-1529.9991403931704,-1529.9991403931704,-1529.9991403931704,-845.8230909358385,-845.8230909358385,-845.8230909358385,-684.1760494573319,-684.1760494573319,-684.1760494573319,0.0,0.0,0.0,266336.3859855513
12,2000-03-26,267943.17948065774,253673.72509754437,279441.4467038013,267943.17948065774,267943.17948065774,-1543.1726156981529,-1543.1726156981529,-1543.1726156981529,-845.8230909358385,-845.8230909358385,-845.8230909358385,-697.3495247623144,-697.3495247623144,-697.3495247623144,0.0,0.0,0.0,266400.0068649596
13,2000-04-02,268019.97383537097,253546.25394679038,280325.7760412925,268019.97383537097,268019.97383537097,-1478.3521827107472,-1478.3521827107472,-1478.3521827107472,-845.8230909358385,-845.8230909358385,-845.8230909358385,-632.5290917749089,-632.5290917749089,-632.5290917749089,0.0,0.0,0.0,266541.6216526602
14,2000-04-09,268096.76819008426,252112.78163182267,280737.11043773795,268096.76819008426,268096.76819008426,-1393.980308473872,-1393.980308473872,-1393.980308473872,-845.8230909358385,-845.8230909358385,-845.8230909358385,-548.1572175380336,-548.1572175380336,-548.1572175380336,0.0,0.0,0.0,266702.7878816104
15,2000-04-16,268173.5625447975,252647.58065385584,280001.54141468776,268173.5625447975,268173.5625447975,-1368.0861201525759,-1368.0861201525759,-1368.0861201525759,-845.8230909358385,-845.8230909358385,-845.8230909358385,-522.2630292167373,-522.2630292167373,-522.2630292167373,0.0,0.0,0.0,266805.47642464493
16,2000-04-23,268250.3568995107,252361.28736817834,280329.2341931357,268250.3568995107,268250.3568995107,-1393.9746484078353,-1393.9746484078353,-1393.9746484078353,-845.8230909358385,-845.8230909358385,-845.8230909358385,-548.1515574719965,-548.1515574719965,-548.1515574719965,0.0,0.0,0.0,266856.3822511029
17,2000-04-30,268327.15125422395,253133.6812964672,280349.9359284406,268327.15125422395,268327.15125422395,-1396.3503286313598,-1396.3503286313598,-1396.3503286313598,-845.8230909358384,-845.8230909358384,-845.8230909358384,-550.5272376955216,-550.5272376955216,-550.5272376955216,0.0,0.0,0.0,266930.8009255926
18,2000-05-07,268403.94560893724,254578.85581759334,280188.220801032,268403.94560893724,268403.94560893724,-1336.7864074914278,-1336.7864074914278,-1336.7864074914278,-845.8230909358384,-845.8230909358384,-845.8230909358384,-490.96331655558936,-490.96331655558936,-490.96331655558936,0.0,0.0,0.0,267067.1592014458
19,2000-05-14,268480.73996365047,254505.7152415459,280806.9692381204,268480.73996365047,268480.73996365047,-1263.1606318930578,-1263.1606318930578,-1263.1606318930578,-845.8230909358385,-845.8230909358385,-845.8230909358385,-417.33754095721946,-417.33754095721946,-417.33754095721946,0.0,0.0,0.0,267217.5793317574
20,2000-05-21,268557.5343183637,253198.1471851579,280673.8370416974,268557.5343183637,268557.5343183637,-1240.672030168048,-1240.672030168048,-1240.672030168048,-845.8230909358385,-845.8230909358385,-845.8230909358385,-394.84893923220943,-394.84893923220943,-394.84893923220943,0.0,0.0,0.0,267316.86228819564
21,2000-05-28,268634.328673077,254151.9220364198,281239.9466270674,268634.328673077,268634.328673077,-1261.7909326197662,-1261.7909326197662,-1261.7909326197662,-845.8230909358384,-845.8230909358384,-845.8230909358384,-415.96784168392765,-415.96784168392765,-415.96784168392765,0.0,0.0,0.0,267372.5377404572
22,2000-06-04,268711.1230277902,253527.70055548844,281451.2706167145,268711.1230277902,268711.1230277902,-1255.8989706431391,-1255.8989706431391,-1255.8989706431391,-845.8230909358385,-845.8230909358385,-845.8230909358385,-410.07587970730066,-410.07587970730066,-410.07587970730066,0.0,0.0,0.0,267455.2240571471
23,2000-06-11,268787.9173825035,254503.3833157155,281676.3098491506,268787.9173825035,268787.9173825035,-1182.471971100718,-1182.471971100718,-1182.471971100718,-845.8230909358384,-845.8230909358384,-845.8230909358384,-336.6488801648795,-336.6488801648795,-336.6488801648795,0.0,0.0,0.0,267605.4454114028
24,2000-06-18,268864.71173721674,254900.64228504177,281284.9784562624,268864.71173721674,268864.71173721674,-1081.683235250824,-1081.683235250824,-1081.683235250824,-845.8230909358384,-845.8230909358384,-845.8230909358384,-235.86014431498546,-235.86014431498546,-235.86014431498546,0.0,0.0,0.0,267783.0285019659
25,2000-06-25,268941.50609193,255057.28753850664,281829.1032596339,268941.50609193,268941.50609193,-1017.3595701848338,-1017.3595701848338,-1017.3595701848338,-845.8230909358384,-845.8230909358384,-845.8230909358384,-171.53647924899545,-171.53647924899545,-171.53647924899545,0.0,0.0,0.0,267924.14652174513
26,2000-07-02,269018.3004466432,254216.99049097663,281591.1566783073,269018.3004466432,269018.3004466432,-992.387756510502,-992.387756510502,-992.387756510502,-845.8230909358382,-845.8230909358382,-845.8230909358382,-146.56466557466354,-146.56466557466354,-146.56466557466354,0.0,0.0,0.0,268025.9126901327
27,2000-07-09,269095.0948013565,254598.3066025565,280802.3465754301,269095.0948013565,269095.0948013565,-950.4096865196567,-950.4096865196567,-950.4096865196567,-845.8230909358384,-845.8230909358384,-845.8230909358384,-104.58659558381845,-104.58659558381845,-104.58659558381845,0.0,0.0,0.0,268144.68511483684
28,2000-07-16,269171.8891560697,254512.02088655074,282048.9943831634,269171.8891560697,269171.8891560697,-858.079007738284,-858.079007738284,-858.079007738284,-845.8230909358382,-845.8230909358382,-845.8230909358382,-12.255916802445615,-12.255916802445615,-12.255916802445615,0.0,0.0,0.0,268313.81014833145
29,2000-07-23,269248.68351078295,255121.72431175312,281390.31755693926,269248.68351078295,269248.68351078295,-753.200399016852,-753.200399016852,-753.200399016852,-845.8230909358382,-845.8230909358382,-845.8230909358382,92.62269191898635,92.62269191898635,92.62269191898635,0.0,0.0,0.0,268495.4831117661
30,2000-07-30,269325.47786549624,255329.88322813093,283001.1337872414,269325.47786549624,269325.47786549624,-692.564693849312,-692.564693849312,-692.564693849312,-845.8230909358384,-845.8230909358384,-845.8230909358384,153.25839708652643,153.25839708652643,153.25839708652643,0.0,0.0,0.0,268632.91317164694
31,2000-08-06,269402.2722202095,254727.0999598179,283459.5692756066,269402.2722202095,269402.2722202095,-671.9280158765929,-671.9280158765929,-671.9280158765929,-845.8230909358382,-845.8230909358382,-845.8230909358382,173.89507505924544,173.89507505924544,173.89507505924544,0.0,0.0,0.0,268730.34420433285
32,2000-08-13,269479.06657492276,256489.7620889422,281671.2166015935,269479.06657492276,269479.06657492276,-629.9259874202221,-629.9259874202221,-629.9259874202221,-845.8230909358384,-845.8230909358384,-845.8230909358384,215.89710351561618,215.89710351561618,215.89710351561618,0.0,0.0,0.0,268849.14058750257
33,2000-08-20,269555.860929636,255668.43054544352,282430.2963439703,269555.860929636,269555.860929636,-532.8502074685205,-532.8502074685205,-532.8502074685205,-845.8230909358384,-845.8230909358384,-845.8230909358384,312.97288346731796,312.97288346731796,312.97288346731796,0.0,0.0,0.0,269023.0107221675
34,2000-08-27,269632.6552843492,255037.4301646241,282560.25659837533,269632.6552843492,269632.6552843492,-423.83592738189344,-423.83592738189344,-423.83592738189344,-845.8230909358384,-845.8230909358384,-845.8230909358384,421.98716355394504,421.98716355394504,421.98716355394504,0.0,0.0,0.0,269208.81935696735
35,2000-09-03,269709.44963906246,255399.52613868398,282226.43055984745,269709.44963906246,269709.44963906246,-365.2693402953598,-365.2693402953598,-365.2693402953598,-845.8230909358385,-845.8230909358385,-845.8230909358385,480.55375064047865,480.55375064047865,480.55375064047865,0.0,0.0,0.0,269344.1802987671
