,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2000-01-02,477567.8094481969,445579.3000371006,504385.76105849777,477567.8094481969,477567.8094481969,-2880.24852828532,-2880.24852828532,-2880.24852828532,-2982.877043134022,-2982.877043134022,-2982.877043134022,102.62851484870214,102.62851484870214,102.62851484870214,0.0,0.0,0.0,474687.5609199116
1,2000-01-09,477583.3603459265,449435.3397972229,506151.80267744965,477583.3603459265,477583.3603459265,59.462889978421266,59.462889978421266,59.462889978421266,-2982.877043134022,-2982.877043134022,-2982.877043134022,3042.3399331124433,3042.3399331124433,3042.3399331124433,0.0,0.0,0.0,477642.8232359049
2,2000-01-16,477598.911243656,449831.6999645192,508098.74723734934,477598.911243656,477598.911243656,1540.0426069963116,1540.0426069963116,1540.0426069963116,-2982.877043134022,-2982.877043134022,-2982.877043134022,4522.919650130333,4522.919650130333,4522.919650130333,0.0,0.0,0.0,479138.9538506523
3,2000-01-23,477614.46214138553,450997.9574252285,507075.2303277091,477614.46214138553,477614.46214138553,1372.6642115981572,1372.6642115981572,1372.6642115981572,-2982.877043134022,-2982.877043134022,-2982.877043134022,4355.5412547321785,4355.5412547321785,4355.5412547321785,0.0,0.0,0.0,478987.1263529837
4,2000-01-30,477630.0130391151,450099.78858727677,507879.8066924493,477630.0130391151,477630.0130391151,529.9478467884617,529.9478467884617,529.9478467884617,-2982.877043134022,-2982.877043134022,-2982.877043134022,3512.8248899224836,3512.8248899224836,3512.8248899224836,0.0,0.0,0.0,478159.96088590357
5,2000-02-06,477645.56393684464,448050.08999245166,506978.72559836175,477645.56393684464,477645.56393684464,69.99051787198644,69.99051787198644,69.99051787198644,-2982.877043134022,-2982.877043134022,-2982.877043134022,3052.8675610060086,3052.8675610060086,3052.8675610060086,0.0,0.0,0.0,477715.5544547166
6,2000-02-13,477661.1148345742,450201.15805007925,507201.53007461666,477661.1148345742,477661.1148345742,207.40524244167725,207.40524244167725,207.40524244167725,-2982.877043134022,-2982.877043134022,-2982.877043134022,3190.2822855756995,3190.2822855756995,3190.2822855756995,0.0,0.0,0.0,477868.5200770159
7,2000-02-20,477676.66573230375,450418.5622938429,507800.62082358083,477676.66573230375,477676.66573230375,414.09363871413973,414.09363871413973,414.09363871413973,-2982.877043134022,-2982.877043134022,-2982.877043134022,3396.970681848162,3396.970681848162,3396.970681848162,0.0,0.0,0.0,478090.75937101786
8,2000-02-27,477692.2166300333,448110.806622647,507274.68391786516,477692.2166300333,477692.2166300333,231.10997279251936,231.10997279251936,231.10997279251936,-2982.877043134022,-2982.877043134022,-2982.877043134022,3213.9870159265415,3213.9870159265415,3213.9870159265415,0.0,0.0,0.0,477923.3266028258
9,2000-03-05,477707.7675277628,447441.74474047136,504979.28550174437,477707.7675277628,477707.7675277628,-218.4834630717817,-218.4834630717817,-218.4834630717817,-2982.877043134022,-2982.877043134022,-2982.877043134022,2764.3935800622403,2764.3935800622403,2764.3935800622403,0.0,0.0,0.0,477489.284064691
