,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2000-01-02,83015241.0941734,75214778.4249664,87501866.67118573,83015241.0941734,83015241.0941734,-1523460.2119777428,-1523460.2119777428,-1523460.2119777428,-1684615.9961519886,-1684615.9961519886,-1684615.9961519886,161155.7841742457,161155.7841742457,161155.7841742457,0.0,0.0,0.0,81491780.88219565
1,2000-01-09,83095498.50273338,76650883.37005374,89055259.01865366,83095498.50273338,83095498.50273338,-288601.24084369454,-288601.24084369454,-288601.24084369454,-1684615.9961519886,-1684615.9961519886,-1684615.9961519886,1396014.7553082942,1396014.7553082942,1396014.7553082942,0.0,0.0,0.0,82806897.26188968
2,2000-01-16,83175755.91129336,77395467.94169335,89447044.93019702,83175755.91129336,83175755.91129336,274146.0073939443,274146.0073939443,274146.0073939443,-1684615.9961519886,-1684615.9961519886,-1684615.9961519886,1958762.003545933,1958762.003545933,1958762.003545933,0.0,0.0,0.0,83449901.9186873
3,2000-01-23,83256013.31985332,76776890.19591038,89401914.80280821,83256013.31985332,83256013.31985332,143654.8124079286,143654.8124079286,143654.8124079286,-1684615.9961519886,-1684615.9961519886,-1684615.9961519886,1828270.8085599171,1828270.8085599171,1828270.8085599171,0.0,0.0,0.0,83399668.13226125
4,2000-01-30,83336270.7284133,76799912.55455048,89222028.89308387,83336270.7284133,83336270.7284133,-224714.272517322,-224714.272517322,-224714.272517322,-1684615.9961519886,-1684615.9961519886,-1684615.9961519886,1459901.7236346665,1459901.7236346665,1459901.7236346665,0.0,0.0,0.0,83111556.45589598
5,2000-02-06,83416528.13697329,76805275.75743255,89030679.0927708,83416528.13697329,83416528.13697329,-392193.36884983204,-392193.36884983204,-392193.36884983204,-1684615.9961519886,-1684615.9961519886,-1684615.9961519886,1292422.6273021565,1292422.6273021565,1292422.6273021565,0.0,0.0,0.0,83024334.76812346
6,2000-02-13,83496785.54553327,77273180.71116793,89196497.6344866,83496785.54553327,83496785.54553327,-309678.6964440628,-309678.6964440628,-309678.6964440628,-1684615.9961519886,-1684615.9961519886,-1684615.9961519886,1374937.2997079259,1374937.2997079259,1374937.2997079259,0.0,0.0,0.0,83187106.8490892
7,2000-02-20,83577042.95409325,77343230.70743082,89261423.58975996,83577042.95409325,83577042.95409325,-225843.00180145155,-225843.00180145155,-225843.00180145155,-1684615.9961519886,-1684615.9961519886,-1684615.9961519886,1458772.9943505372,1458772.9943505372,1458772.9943505372,0.0,0.0,0.0,83351199.9522918
8,2000-02-27,83657300.36265323,77496942.31675903,89804283.67851147,83657300.36265323,83657300.36265323,-321669.90714306757,-321669.90714306757,-321669.90714306757,-1684615.9961519886,-1684615.9961519886,-1684615.9961519886,1362946.089008921,1362946.089008921,1362946.089008921,0.0,0.0,0.0,83335630.45551015
9,2000-03-05,83737557.77121319,77523653.15740047,89202551.25845917,83737557.77121319,83737557.77121319,-517693.9324436008,-517693.9324436008,-517693.9324436008,-1684615.9961519886,-1684615.9961519886,-1684615.9961519886,1166922.0637083878,1166922.0637083878,1166922.0637083878,0.0,0.0,0.0,83219863.83876958
