,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2000-01-02,1085087.6465454504,960995.0461639614,1249939.7353385445,1085087.6465454504,1085087.6465454504,13215.270853370961,13215.270853370961,13215.270853370961,8207.467112611432,8207.467112611432,8207.467112611432,5007.803740759529,5007.803740759529,5007.803740759529,0.0,0.0,0.0,1098302.9173988213
1,2000-01-09,1084102.1619076498,966033.6922009711,1230885.9801359852,1084102.1619076498,1084102.1619076498,10123.243862210418,10123.243862210418,10123.243862210418,8207.467112611432,8207.467112611432,8207.467112611432,1915.776749598987,1915.776749598987,1915.776749598987,0.0,0.0,0.0,1094225.4057698601
2,2000-01-16,1083116.6772698495,955281.9899767175,1227705.2104778243,1083116.6772698495,1083116.6772698495,6579.540018375753,6579.540018375753,6579.540018375753,8207.467112611432,8207.467112611432,8207.467112611432,-1627.9270942356786,-1627.9270942356786,-1627.9270942356786,0.0,0.0,0.0,1089696.2172882252
3,2000-01-23,1082131.1926320489,939974.5458977285,1221114.604954221,1082131.1926320489,1082131.1926320489,4895.759159793081,4895.759159793081,4895.759159793081,8207.467112611432,8207.467112611432,8207.467112611432,-3311.7079528183503,-3311.7079528183503,-3311.7079528183503,0.0,0.0,0.0,1087026.951791842
4,2000-01-30,1081145.7079942483,942123.7384061675,1217151.749018769,1081145.7079942483,1081145.7079942483,5486.7876132915735,5486.7876132915735,5486.7876132915735,8207.467112611432,8207.467112611432,8207.467112611432,-2720.6794993198578,-2720.6794993198578,-2720.6794993198578,0.0,0.0,0.0,1086632.4956075398
5,2000-02-06,1080160.2233564476,946764.7223364857,1230865.6824902215,1080160.2233564476,1080160.2233564476,6824.556543582286,6824.556543582286,6824.556543582286,8207.467112611432,8207.467112611432,8207.467112611432,-1382.9105690291453,-1382.9105690291453,-1382.9105690291453,0.0,0.0,0.0,1086984.77990003
6,2000-02-13,1079174.7387186473,946348.2786170177,1222203.2084007643,1079174.7387186473,1079174.7387186473,7277.420155972972,7277.420155972972,7277.420155972972,8207.467112611432,8207.467112611432,8207.467112611432,-930.0469566384596,-930.0469566384596,-930.0469566384596,0.0,0.0,0.0,1086452.1588746202
7,2000-02-20,1078189.2540808467,948490.4933187095,1223008.6137249935,1078189.2540808467,1078189.2540808467,6694.646025235642,6694.646025235642,6694.646025235642,8207.467112611432,8207.467112611432,8207.467112611432,-1512.8210873757891,-1512.8210873757891,-1512.8210873757891,0.0,0.0,0.0,1084883.9001060822
8,2000-02-27,1077203.769443046,949117.3708799463,1226074.4466885885,1077203.769443046,1077203.769443046,6135.224044718379,6135.224044718379,6135.224044718379,8207.467112611432,8207.467112611432,8207.467112611432,-2072.2430678930523,-2072.2430678930523,-2072.2430678930523,0.0,0.0,0.0,1083338.9934877644
9,2000-03-05,1076218.2848052455,940073.2479500957,1227725.5623898332,1076218.2848052455,1076218.2848052455,6373.301131015901,6373.301131015901,6373.301131015901,8207.467112611432,8207.467112611432,8207.467112611432,-1834.1659815955302,-1834.1659815955302,-1834.1659815955302,0.0,0.0,0.0,1082591.5859362613
