,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2000-01-02,812749.1802935966,769772.5817584732,872655.7930293813,812749.1802935966,812749.1802935966,10381.360110609563,10381.360110609563,10381.360110609563,9437.993832444134,9437.993832444134,9437.993832444134,943.3662781654283,943.3662781654283,943.3662781654283,0.0,0.0,0.0,823130.5404042061
1,2000-01-09,812149.5898037391,777414.9163383862,880637.6188502383,812149.5898037391,812149.5898037391,15573.103941765266,15573.103941765266,15573.103941765266,9437.993832444134,9437.993832444134,9437.993832444134,6135.11010932113,6135.11010932113,6135.11010932113,0.0,0.0,0.0,827722.6937455044
2,2000-01-16,811549.9993138817,778987.7438706091,881247.5215404385,811549.9993138817,811549.9993138817,17814.620202602047,17814.620202602047,17814.620202602047,9437.993832444134,9437.993832444134,9437.993832444134,8376.626370157912,8376.626370157912,8376.626370157912,0.0,0.0,0.0,829364.6195164837
3,2000-01-23,810950.4088240243,776398.9948106299,882751.3401203845,810950.4088240243,810950.4088240243,17165.21294068523,17165.21294068523,17165.21294068523,9437.993832444134,9437.993832444134,9437.993832444134,7727.219108241093,7727.219108241093,7727.219108241093,0.0,0.0,0.0,828115.6217647095
4,2000-01-30,810350.8183341669,774304.3290200937,878183.454361226,810350.8183341669,810350.8183341669,15632.906872536507,15632.906872536507,15632.906872536507,9437.993832444134,9437.993832444134,9437.993832444134,6194.913040092372,6194.913040092372,6194.913040092372,0.0,0.0,0.0,825983.7252067034
5,2000-02-06,809751.2278443094,776885.6982505613,873597.4269931493,809751.2278443094,809751.2278443094,15020.97616423645,15020.97616423645,15020.97616423645,9437.993832444134,9437.993832444134,9437.993832444134,5582.982331792316,5582.982331792316,5582.982331792316,0.0,0.0,0.0,824772.2040085458
6,2000-02-13,809151.6373544519,769407.5763252705,877111.8073405672,809151.6373544519,809151.6373544519,15427.121593157248,15427.121593157248,15427.121593157248,9437.993832444134,9437.993832444134,9437.993832444134,5989.127760713114,5989.127760713114,5989.127760713114,0.0,0.0,0.0,824578.7589476092
7,2000-02-20,808552.0468645946,773805.7849962965,876747.3029949471,808552.0468645946,808552.0468645946,15755.438722662335,15755.438722662335,15755.438722662335,9437.993832444134,9437.993832444134,9437.993832444134,6317.444890218201,6317.444890218201,6317.444890218201,0.0,0.0,0.0,824307.4855872568
8,2000-02-27,807952.4563747371,770904.1767805429,875376.8035156897,807952.4563747371,807952.4563747371,15294.165060231368,15294.165060231368,15294.165060231368,9437.993832444134,9437.993832444134,9437.993832444134,5856.17122778723,5856.17122778723,5856.17122778723,0.0,0.0,0.0,823246.6214349684
9,2000-03-05,807352.8658848797,770050.5360510562,878187.5411201197,807352.8658848797,807352.8658848797,14451.55301114958,14451.55301114958,14451.55301114958,9437.993832444134,9437.993832444134,9437.993832444134,5013.5591787054445,5013.5591787054445,5013.5591787054445,0.0,0.0,0.0,821804.4188960294
