,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2000-01-02,48328932.86648808,41390299.651337795,52835770.76437184,48328932.86648808,48328932.86648808,-1310782.792874981,-1310782.792874981,-1310782.792874981,-1379524.9592962498,-1379524.9592962498,-1379524.9592962498,68742.16642126859,68742.16642126859,68742.16642126859,0.0,0.0,0.0,47018150.07361309
1,2000-01-09,48377987.00303294,41400922.20498009,53490048.9241829,48377987.00303294,48377987.00303294,-699039.594406725,-699039.594406725,-699039.594406725,-1379524.9592962498,-1379524.9592962498,-1379524.9592962498,680485.3648895248,680485.3648895248,680485.3648895248,0.0,0.0,0.0,47678947.40862621
2,2000-01-16,48427041.13957781,41488095.35646044,53693975.05658192,48427041.13957781,48427041.13957781,-421055.3683930833,-421055.3683930833,-421055.3683930833,-1379524.9592962498,-1379524.9592962498,-1379524.9592962498,958469.5909031664,958469.5909031664,958469.5909031664,0.0,0.0,0.0,48005985.77118473
3,2000-01-23,48476095.27612268,41610113.75873616,53863534.28795175,48476095.27612268,48476095.27612268,-486740.8030335168,-486740.8030335168,-486740.8030335168,-1379524.9592962498,-1379524.9592962498,-1379524.9592962498,892784.1562627329,892784.1562627329,892784.1562627329,0.0,0.0,0.0,47989354.473089166
4,2000-01-30,48525149.41266754,41443693.078174956,53821056.955838844,48525149.41266754,48525149.41266754,-669523.3858549093,-669523.3858549093,-669523.3858549093,-1379524.9592962498,-1379524.9592962498,-1379524.9592962498,710001.5734413405,710001.5734413405,710001.5734413405,0.0,0.0,0.0,47855626.026812635
5,2000-02-06,48574203.54921241,41589790.57937751,54313617.68813643,48574203.54921241,48574203.54921241,-751579.5991514265,-751579.5991514265,-751579.5991514265,-1379524.9592962498,-1379524.9592962498,-1379524.9592962498,627945.3601448233,627945.3601448233,627945.3601448233,0.0,0.0,0.0,47822623.950060986
6,2000-02-13,48623257.68575728,42049797.61574851,53942719.45548897,48623257.68575728,48623257.68575728,-708984.6499546599,-708984.6499546599,-708984.6499546599,-1379524.9592962498,-1379524.9592962498,-1379524.9592962498,670540.3093415899,670540.3093415899,670540.3093415899,0.0,0.0,0.0,47914273.03580262
7,2000-02-20,48672311.82230215,42045188.90442998,54040705.94445189,48672311.82230215,48672311.82230215,-665726.3827112394,-665726.3827112394,-665726.3827112394,-1379524.9592962498,-1379524.9592962498,-1379524.9592962498,713798.5765850103,713798.5765850103,713798.5765850103,0.0,0.0,0.0,48006585.43959091
8,2000-02-27,48721365.95884701,41803203.94608738,53888854.57013384,48721365.95884701,48721365.95884701,-711959.9707264475,-711959.9707264475,-711959.9707264475,-1379524.9592962498,-1379524.9592962498,-1379524.9592962498,667564.9885698021,667564.9885698021,667564.9885698021,0.0,0.0,0.0,48009405.98812056
9,2000-03-05,48770420.095391884,41478595.40293091,54043593.67130461,48770420.095391884,48770420.095391884,-808217.1842511492,-808217.1842511492,-808217.1842511492,-1379524.9592962498,-1379524.9592962498,-1379524.9592962498,571307.7750451005,571307.7750451005,571307.7750451005,0.0,0.0,0.0,47962202.91114073
10,2000-03-12,48819474.23193675,41986653.168242656,54206201.75666848,48819474.23193675,48819474.23193675,-861521.4715232084,-861521.4715232084,-861521.4715232084,-1379524.9592962498,-1379524.9592962498,-1379524.9592962498,518003.48777304124,518003.48777304124,518003.48777304124,0.0,0.0,0.0,47957952.76041354
11,2000-03-19,48868528.36848161,42135668.94030406,54218526.47990718,48868528.36848161,48868528.36848161,-849743.6930816593,-849743.6930816593,-849743.6930816593,-1379524.9592962498,-1379524.9592962498,-1379524.9592962498,529781.2662145905,529781.2662145905,529781.2662145905,0.0,0.0,0.0,48018784.67539995
12,2000-03-26,48917582.50502649,41781546.261175975,54149342.93337649,48917582.50502649,48917582.50502649,-837013.021231309,-837013.021231309,-837013.021231309,-1379524.9592962498,-1379524.9592962498,-1379524.9592962498,542511.9380649406,542511.9380649406,542511.9380649406,0.0,0.0,0.0,48080569.48379518
13,2000-04-02,48966636.64157136,41685639.584301405,54052133.93414907,48966636.64157136,48966636.64157136,-879416.8610686412,-879416.8610686412,-879416.8610686412,-1379524.9592962498,-1379524.9592962498,-1379524.9592962498,500108.0982276086,500108.0982276086,500108.0982276086,0.0,0.0,0.0,48087219.780502714
14,2000-04-09,49015690.77811622,41638113.63871604,54531220.22585168,49015690.77811622,49015690.77811622,-954359.397307706,-954359.397307706,-954359.397307706,-1379524.9592962498,-1379524.9592962498,-1379524.9592962498,425165.56198854384,425165.56198854384,425165.56198854384,0.0,0.0,0.0,48061331.38080851
15,2000-04-16,49064744.91466109,41358947.59807263,54017444.90269887,49064744.91466109,49064744.91466109,-999401.0984279253,-999401.0984279253,-999401.0984279253,-1379524.9592962498,-1379524.9592962498,-1379524.9592962498,380123.8608683244,380123.8608683244,380123.8608683244,0.0,0.0,0.0,48065343.81623316
16,2000-04-23,49113799.05120596,42248196.87108612,53836993.17087236,49113799.05120596,49113799.05120596,-997930.3734208997,-997930.3734208997,-997930.3734208997,-1379524.9592962498,-1379524.9592962498,-1379524.9592962498,381594.58587535005,381594.58587535005,381594.58587535005,0.0,0.0,0.0,48115868.67778506
17,2000-04-30,49162853.187750824,41692988.460470185,53856978.94377959,49162853.187750824,49162853.187750824,-996309.1505158105,-996309.1505158105,-996309.1505158105,-1379524.9592962498,-1379524.9592962498,-1379524.9592962498,383215.80878043926,383215.80878043926,383215.80878043926,0.0,0.0,0.0,48166544.037235014
18,2000-05-07,49211907.32429569,41651810.46281143,53853524.972313344,49211907.32429569,49211907.32429569,-1036963.2801956953,-1036963.2801956953,-1036963.2801956953,-1379524.9592962498,-1379524.9592962498,-1379524.9592962498,342561.67910055426,342561.67910055426,342561.67910055426,0.0,0.0,0.0,48174944.044099994
19,2000-05-14,49260961.46084057,41634907.24043956,53828564.59763976,49260961.46084057,49260961.46084057,-1102545.4586614398,-1102545.4586614398,-1102545.4586614398,-1379524.9592962498,-1379524.9592962498,-1379524.9592962498,276979.50063480996,276979.50063480996,276979.50063480996,0.0,0.0,0.0,48158416.00217913
20,2000-05-21,49310015.59738543,41714702.185161926,53830045.9302316,49310015.59738543,49310015.59738543,-1144158.8931070645,-1144158.8931070645,-1144158.8931070645,-1379524.9592962498,-1379524.9592962498,-1379524.9592962498,235366.06618918508,235366.06618918508,235366.06618918508,0.0,0.0,0.0,48165856.704278365
21,2000-05-28,49359069.7339303,42133591.31732731,54576179.29719663,49359069.7339303,49359069.7339303,-1150358.6155571921,-1150358.6155571921,-1150358.6155571921,-1379524.9592962498,-1379524.9592962498,-1379524.9592962498,229166.3437390576,229166.3437390576,229166.3437390576,0.0,0.0,0.0,48208711.1183731
22,2000-06-04,49408123.870475166,42102053.2450329,54098205.8780564,49408123.870475166,49408123.870475166,-1161822.7751823175,-1161822.7751823175,-1161822.7751823175,-1379524.9592962498,-1379524.9592962498,-1379524.9592962498,217702.18411393225,217702.18411393225,217702.18411393225,0.0,0.0,0.0,48246301.09529285
23,2000-06-11,49457178.007020034,42139880.165010445,53963899.89674324,49457178.007020034,49457178.007020034,-1214044.3660610018,-1214044.3660610018,-1214044.3660610018,-1379524.9592962498,-1379524.9592962498,-1379524.9592962498,165480.59323524788,165480.59323524788,165480.59323524788,0.0,0.0,0.0,48243133.64095903
24,2000-06-18,49506232.143564895,42397818.64649503,54329533.407795854,49506232.143564895,49506232.143564895,-1288168.2423660979,-1288168.2423660979,-1288168.2423660979,-1379524.9592962498,-1379524.9592962498,-1379524.9592962498,91356.7169301517,91356.7169301517,91356.7169301517,0.0,0.0,0.0,48218063.9011988
25,2000-06-25,49555286.28010976,41909893.42707852,54065275.6050312,49555286.28010976,49555286.28010976,-1336829.8699257146,-1336829.8699257146,-1336829.8699257146,-1379524.9592962498,-1379524.9592962498,-1379524.9592962498,42695.08937053527,42695.08937053527,42695.08937053527,0.0,0.0,0.0,48218456.41018405
26,2000-07-02,49604340.41665464,42447419.79086215,54165704.0708496,49604340.41665464,49604340.41665464,-1348696.1265055921,-1348696.1265055921,-1348696.1265055921,-1379524.9592962498,-1379524.9592962498,-1379524.9592962498,30828.832790657383,30828.832790657383,30828.832790657383,0.0,0.0,0.0,48255644.29014905
27,2000-07-09,49653394.5531995,42373355.43670158,54650317.9945921,49653394.5531995,49653394.5531995,-1363294.6675174963,-1363294.6675174963,-1363294.6675174963,-1379524.9592962498,-1379524.9592962498,-1379524.9592962498,16230.291778753455,16230.291778753455,16230.291778753455,0.0,0.0,0.0,48290099.885682
28,2000-07-16,49702448.68974437,42401075.5290667,54609140.67038953,49702448.68974437,49702448.68974437,-1416203.559416972,-1416203.559416972,-1416203.559416972,-1379524.9592962498,-1379524.9592962498,-1379524.9592962498,-36678.60012072241,-36678.60012072241,-36678.60012072241,0.0,0.0,0.0,48286245.130327396
29,2000-07-23,49751502.826289244,41772730.475347355,53986768.381175496,49751502.826289244,49751502.826289244,-1489813.7488574004,-1489813.7488574004,-1489813.7488574004,-1379524.9592962498,-1379524.9592962498,-1379524.9592962498,-110288.78956115094,-110288.78956115094,-110288.78956115094,0.0,0.0,0.0,48261689.07743184
30,2000-07-30,49800556.962834105,42151388.826200865,54389345.18542089,49800556.962834105,49800556.962834105,-1537352.6332942396,-1537352.6332942396,-1537352.6332942396,-1379524.9592962498,-1379524.9592962498,-1379524.9592962498,-157827.67399798983,-157827.67399798983,-157827.67399798983,0.0,0.0,0.0,48263204.329539865
31,2000-08-06,49849611.09937897,42410154.23705372,54306734.72225215,49849611.09937897,49849611.09937897,-1547706.5247195668,-1547706.5247195668,-1547706.5247195668,-1379524.9592962498,-1379524.9592962498,-1379524.9592962498,-168181.5654233171,-168181.5654233171,-168181.5654233171,0.0,0.0,0.0,48301904.57465941
32,2000-08-13,49898665.23592385,42200952.65229101,54671300.23626977,49898665.23592385,49898665.23592385,-1561872.8989641918,-1561872.8989641918,-1561872.8989641918,-1379524.9592962498,-1379524.9592962498,-1379524.9592962498,-182347.93966794212,-182347.93966794212,-182347.93966794212,0.0,0.0,0.0,48336792.33695966
33,2000-08-20,49947719.37246871,42401351.709262386,54122697.911334336,49947719.37246871,49947719.37246871,-1616950.8252808307,-1616950.8252808307,-1616950.8252808307,-1379524.9592962498,-1379524.9592962498,-1379524.9592962498,-237425.86598458106,-237425.86598458106,-237425.86598458106,0.0,0.0,0.0,48330768.54718788
34,2000-08-27,49996773.50901358,41971044.56992468,54265638.959157795,49996773.50901358,49996773.50901358,-1693556.4671764344,-1693556.4671764344,-1693556.4671764344,-1379524.9592962498,-1379524.9592962498,-1379524.9592962498,-314031.5078801847,-314031.5078801847,-314031.5078801847,0.0,0.0,0.0,48303217.04183714
35,2000-09-03,50045827.64555845,42217394.48308935,54725123.00096799,50045827.64555845,50045827.64555845,-1740539.2081588467,-1740539.2081588467,-1740539.2081588467,-1379524.9592962498,-1379524.9592962498,-1379524.9592962498,-361014.24886259716,-361014.24886259716,-361014.24886259716,0.0,0.0,0.0,48305288.4373996
36,2000-09-10,50094881.78341377,41807914.479594246,54183057.410908885,50094881.78341377,50094881.78341377,-1746004.7695096103,-1746004.7695096103,-1746004.7695096103,-1379524.9592962498,-1379524.9592962498,-1379524.9592962498,-366479.81021336076,-366479.81021336076,-366479.81021336076,0.0,0.0,0.0,48348877.013904154
37,2000-09-17,50143935.92126909,42812821.194289565,54382341.75504966,50143935.92126909,50143935.92126909,-1756934.6370387028,-1756934.6370387028,-1756934.6370387028,-1379524.9592962498,-1379524.9592962498,-1379524.9592962498,-377409.6777424534,-377409.6777424534,-377409.6777424534,0.0,0.0,0.0,48387001.28423039
38,2000-09-24,50192990.059124395,42596413.20979747,54704791.8456313,50192990.059124395,50192990.059124395,-1815951.7316946844,-1815951.7316946844,-1815951.7316946844,-1379524.9592962498,-1379524.9592962498,-1379524.9592962498,-436426.772398435,-436426.772398435,-436426.772398435,0.0,0.0,0.0,48377038.32742971
39,2000-10-01,50242044.19697972,42094318.068864256,54246824.70572591,50242044.19697972,50242044.19697972,-1898694.3830679355,-1898694.3830679355,-1898694.3830679355,-1379524.9592962498,-1379524.9592962498,-1379524.9592962498,-519169.423771686,-519169.423771686,-519169.423771686,0.0,0.0,0.0,48343349.81391178
40,2000-10-08,50291098.33483503,41967527.112756565,54495440.43374696,50291098.33483503,50291098.33483503,-1941554.766317293,-1941554.766317293,-1941554.766317293,-1379524.9592962498,-1379524.9592962498,-1379524.9592962498,-562029.8070210435,-562029.8070210435,-562029.8070210435,0.0,0.0,0.0,48349543.56851774
41,2000-10-15,50340152.47269035,42442531.629972786,54759641.85774655,50340152.47269035,50340152.47269035,-1929659.405475434,-1929659.405475434,-1929659.405475434,-1379524.9592962498,-1379524.9592962498,-1379524.9592962498,-550134.4461791841,-550134.4461791841,-550134.4461791841,0.0,0.0,0.0,48410493.06721492
42,2000-10-22,50389206.61054567,42737074.36866969,54458919.1971214,50389206.61054567,50389206.61054567,-1925661.1992035885,-1925661.1992035885,-1925661.1992035885,-1379524.9592962498,-1379524.9592962498,-1379524.9592962498,-546136.239907339,-546136.239907339,-546136.239907339,0.0,0.0,0.0,48463545.411342084
43,2000-10-29,50438260.748400986,42049533.07977706,54845376.945563674,50438260.748400986,50438260.748400986,-1989705.5193272578,-1989705.5193272578,-1989705.5193272578,-1379524.9592962498,-1379524.9592962498,-1379524.9592962498,-610180.5600310083,-610180.5600310083,-610180.5600310083,0.0,0.0,0.0,48448555.229073726
