,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2000-01-02,209692.31775146336,195921.47144578962,222506.94721819367,209692.31775146336,209692.31775146336,-672.3480210898814,-672.3480210898814,-672.3480210898814,-170.05779100713974,-170.05779100713974,-170.05779100713974,-502.2902300827418,-502.2902300827418,-502.2902300827418,0.0,0.0,0.0,209019.96973037347
1,2000-01-09,209656.29532703725,194218.47794243344,220557.32234866254,209656.29532703725,209656.29532703725,-2055.1945437606673,-2055.1945437606673,-2055.1945437606673,-170.05779100713974,-170.05779100713974,-170.05779100713974,-1885.1367527535283,-1885.1367527535283,-1885.1367527535283,0.0,0.0,0.0,207601.10078327658
2,2000-01-16,209620.27290261115,193795.70588060655,219682.16473947652,209620.27290261115,209620.27290261115,-2548.263594587353,-2548.263594587353,-2548.263594587353,-170.05779100713974,-170.05779100713974,-170.05779100713974,-2378.205803580214,-2378.205803580214,-2378.205803580214,0.0,0.0,0.0,207072.0093080238
3,2000-01-23,209584.25047818504,194166.60453014352,220615.40794342326,209584.25047818504,209584.25047818504,-2268.788086518458,-2268.788086518458,-2268.788086518458,-170.05779100713974,-170.05779100713974,-170.05779100713974,-2098.7302955113187,-2098.7302955113187,-2098.7302955113187,0.0,0.0,0.0,207315.46239166657
4,2000-01-30,209548.22805375897,194512.7368105652,219954.66875962514,209548.22805375897,209548.22805375897,-1827.5365789002285,-1827.5365789002285,-1827.5365789002285,-170.05779100713974,-170.05779100713974,-170.05779100713974,-1657.4787878930888,-1657.4787878930888,-1657.4787878930888,0.0,0.0,0.0,207720.69147485873
5,2000-02-06,209512.2056293329,194986.72066459473,220335.77024164502,209512.2056293329,209512.2056293329,-1692.2939062077871,-1692.2939062077871,-1692.2939062077871,-170.05779100713974,-170.05779100713974,-170.05779100713974,-1522.2361152006472,-1522.2361152006472,-1522.2361152006472,0.0,0.0,0.0,207819.91172312511
6,2000-02-13,209476.1832049068,194771.55716316536,219387.4741304739,209476.1832049068,209476.1832049068,-1823.4122996935614,-1823.4122996935614,-1823.4122996935614,-170.05779100713968,-170.05779100713968,-170.05779100713968,-1653.3545086864217,-1653.3545086864217,-1653.3545086864217,0.0,0.0,0.0,207652.77090521323
7,2000-02-20,209440.16078048068,194439.33355075165,222189.003229231,209440.16078048068,209440.16078048068,-1891.073339813078,-1891.073339813078,-1891.073339813078,-170.05779100713968,-170.05779100713968,-170.05779100713968,-1721.0155488059386,-1721.0155488059386,-1721.0155488059386,0.0,0.0,0.0,207549.08744066762
8,2000-02-27,209404.13835605458,194436.83264102592,221128.31033782038,209404.13835605458,209404.13835605458,-1728.4403814468599,-1728.4403814468599,-1728.4403814468599,-170.05779100713968,-170.05779100713968,-170.05779100713968,-1558.38259043972,-1558.38259043972,-1558.38259043972,0.0,0.0,0.0,207675.69797460773
9,2000-03-05,209368.1159316285,195553.22048506202,221944.7910599073,209368.1159316285,209368.1159316285,-1486.3803203938392,-1486.3803203938392,-1486.3803203938392,-170.05779100713968,-170.05779100713968,-170.05779100713968,-1316.3225293866992,-1316.3225293866992,-1316.3225293866992,0.0,0.0,0.0,207881.73561123468
