,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2000-01-02,313159.7771950612,292055.7188015586,331603.22494738805,313159.7771950612,313159.7771950612,-1364.2104614305981,-1364.2104614305981,-1364.2104614305981,-745.5145029784909,-745.5145029784909,-745.5145029784909,-618.6959584521076,-618.6959584521076,-618.6959584521076,0.0,0.0,0.0,311795.5667336306
1,2000-01-09,313579.0874776236,292229.4298639155,333451.5951103855,313579.0874776236,313579.0874776236,-1071.3135948461725,-1071.3135948461725,-1071.3135948461725,-745.5145029784908,-745.5145029784908,-745.5145029784908,-325.79909186768174,-325.79909186768174,-325.79909186768174,0.0,0.0,0.0,312507.77388277743
2,2000-01-16,313998.39776018605,291734.1617649615,333362.0699057623,313998.39776018605,313998.39776018605,-606.0076897715438,-606.0076897715438,-606.0076897715438,-745.5145029784909,-745.5145029784909,-745.5145029784909,139.50681320694696,139.50681320694696,139.50681320694696,0.0,0.0,0.0,313392.3900704145
3,2000-01-23,314417.7080427485,294994.8969450321,333528.81151440175,314417.7080427485,314417.7080427485,-312.1592023173628,-312.1592023173628,-312.1592023173628,-745.5145029784908,-745.5145029784908,-745.5145029784908,433.3553006611279,433.3553006611279,433.3553006611279,0.0,0.0,0.0,314105.54884043115
4,2000-01-30,314837.01832531096,294026.9560684277,334957.8425322301,314837.01832531096,314837.01832531096,-339.7994923370823,-339.7994923370823,-339.7994923370823,-745.5145029784907,-745.5145029784907,-745.5145029784907,405.7150106414084,405.7150106414084,405.7150106414084,0.0,0.0,0.0,314497.21883297386
5,2000-02-06,315256.32860787335,294900.99099894386,333786.4335261442,315256.32860787335,315256.32860787335,-539.2819456972079,-539.2819456972079,-539.2819456972079,-745.5145029784908,-745.5145029784908,-745.5145029784908,206.23255728128282,206.23255728128282,206.23255728128282,0.0,0.0,0.0,314717.04666217614
6,2000-02-13,315675.63889043574,294483.0092155618,334873.1537060616,315675.63889043574,315675.63889043574,-662.3758376672546,-662.3758376672546,-662.3758376672546,-745.514502978491,-745.514502978491,-745.514502978491,83.13866531123645,83.13866531123645,83.13866531123645,0.0,0.0,0.0,315013.2630527685
7,2000-02-20,316094.94917299825,293778.843034447,334647.53815845394,316094.94917299825,316094.94917299825,-624.7812683808723,-624.7812683808723,-624.7812683808723,-745.514502978491,-745.514502978491,-745.514502978491,120.7332345976187,120.7332345976187,120.7332345976187,0.0,0.0,0.0,315470.1679046174
8,2000-02-27,316514.25945556065,297192.78920076677,335563.50280034315,316514.25945556065,316514.25945556065,-546.9863957453917,-546.9863957453917,-546.9863957453917,-745.5145029784909,-745.5145029784909,-745.5145029784909,198.52810723309918,198.52810723309918,198.52810723309918,0.0,0.0,0.0,315967.2730598153
9,2000-03-05,316933.5697381231,296014.27221995813,335745.22768213274,316933.5697381231,316933.5697381231,-568.4078087541335,-568.4078087541335,-568.4078087541335,-745.514502978491,-745.514502978491,-745.514502978491,177.10669422435754,177.10669422435754,177.10669422435754,0.0,0.0,0.0,316365.161929369
10,2000-03-12,317352.8800206855,296970.12760987243,336222.57409912086,317352.8800206855,317352.8800206855,-680.3025123002186,-680.3025123002186,-680.3025123002186,-745.514502978491,-745.514502978491,-745.514502978491,65.21199067827234,65.21199067827234,65.21199067827234,0.0,0.0,0.0,316672.5775083853
11,2000-03-19,317772.19030324795,298276.0080852659,335387.1862224616,317772.19030324795,317772.19030324795,-763.8589010407029,-763.8589010407029,-763.8589010407029,-745.5145029784909,-745.5145029784909,-745.5145029784909,-18.344398062212075,-18.344398062212075,-18.344398062212075,0.0,0.0,0.0,317008.33140220726
12,2000-03-26,318191.5005858104,297686.7410514637,337030.8758720802,318191.5005858104,318191.5005858104,-754.3051438600468,-754.3051438600468,-754.3051438600468,-745.5145029784909,-745.5145029784909,-745.5145029784909,-8.790640881555767,-8.790640881555767,-8.790640881555767,0.0,0.0,0.0,317437.19544195035
13,2000-04-02,318610.8108683728,298240.12825942156,337761.25392698374,318610.8108683728,318610.8108683728,-714.2389367959628,-714.2389367959628,-714.2389367959628,-745.5145029784909,-745.5145029784909,-745.5145029784909,31.275566182528113,31.275566182528113,31.275566182528113,0.0,0.0,0.0,317896.5719315768
14,2000-04-09,319030.12115093524,298669.3414524246,339375.870891643,319030.12115093524,319030.12115093524,-738.2216148197498,-738.2216148197498,-738.2216148197498,-745.5145029784909,-745.5145029784909,-745.5145029784909,7.292888158741005,7.292888158741005,7.292888158741005,0.0,0.0,0.0,318291.89953611547
15,2000-04-16,319449.4314334977,299431.6296566201,338108.897850351,319449.4314334977,319449.4314334977,-827.8152832029851,-827.8152832029851,-827.8152832029851,-745.5145029784909,-745.5145029784909,-745.5145029784909,-82.30078022449425,-82.30078022449425,-82.30078022449425,0.0,0.0,0.0,318621.6161502947
16,2000-04-23,319868.7417160601,299273.447642638,338801.9988776718,319868.7417160601,319868.7417160601,-898.0831989566587,-898.0831989566587,-898.0831989566587,-745.5145029784908,-745.5145029784908,-745.5145029784908,-152.56869597816802,-152.56869597816802,-152.56869597816802,0.0,0.0,0.0,318970.6585171034
