,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2000-01-02,1579712.672803835,1291763.2159451908,1714324.6274118715,1579712.672803835,1579712.672803835,-71178.939436186,-71178.939436186,-71178.939436186,-72035.08123817541,-72035.08123817541,-72035.08123817541,856.1418019894078,856.1418019894078,856.1418019894078,0.0,0.0,0.0,1508533.733367649
1,2000-01-09,1582360.640151949,1311990.3315595025,1770358.9522650328,1582360.640151949,1582360.640151949,-33839.97058421895,-33839.97058421895,-33839.97058421895,-72035.08123817541,-72035.08123817541,-72035.08123817541,38195.11065395646,38195.11065395646,38195.11065395646,0.0,0.0,0.0,1548520.66956773
2,2000-01-16,1585008.6075000623,1352900.714064442,1800894.7047406433,1585008.6075000623,1585008.6075000623,-14917.036758460616,-14917.036758460616,-14917.036758460616,-72035.08123817541,-72035.08123817541,-72035.08123817541,57118.044479714794,57118.044479714794,57118.044479714794,0.0,0.0,0.0,1570091.5707416018
3,2000-01-23,1587656.5748481762,1344853.5907620369,1792831.1385219009,1587656.5748481762,1587656.5748481762,-17039.064761179685,-17039.064761179685,-17039.064761179685,-72035.08123817541,-72035.08123817541,-72035.08123817541,54996.016476995734,54996.016476995734,54996.016476995734,0.0,0.0,0.0,1570617.5100869965
4,2000-01-30,1590304.5421962899,1344064.772256135,1764789.9980872814,1590304.5421962899,1590304.5421962899,-27882.687492064295,-27882.687492064295,-27882.687492064295,-72035.08123817541,-72035.08123817541,-72035.08123817541,44152.39374611112,44152.39374611112,44152.39374611112,0.0,0.0,0.0,1562421.8547042257
5,2000-02-06,1592952.5095444035,1325318.7887984314,1780429.4582579718,1592952.5095444035,1592952.5095444035,-33871.59132902866,-33871.59132902866,-33871.59132902866,-72035.08123817541,-72035.08123817541,-72035.08123817541,38163.48990914675,38163.48990914675,38163.48990914675,0.0,0.0,0.0,1559080.918215375
6,2000-02-13,1595600.4768925174,1361780.2603981376,1784332.273055074,1595600.4768925174,1595600.4768925174,-32176.708306944354,-32176.708306944354,-32176.708306944354,-72035.08123817541,-72035.08123817541,-72035.08123817541,39858.37293123106,39858.37293123106,39858.37293123106,0.0,0.0,0.0,1563423.768585573
7,2000-02-20,1598248.4442406308,1338288.469450502,1797632.5367554117,1598248.4442406308,1598248.4442406308,-29554.18209888121,-29554.18209888121,-29554.18209888121,-72035.08123817541,-72035.08123817541,-72035.08123817541,42480.8991392942,42480.8991392942,42480.8991392942,0.0,0.0,0.0,1568694.2621417497
8,2000-02-27,1600896.4115887447,1340400.1964653076,1784322.0793092055,1600896.4115887447,1600896.4115887447,-31948.07171012466,-31948.07171012466,-31948.07171012466,-72035.08123817541,-72035.08123817541,-72035.08123817541,40087.00952805075,40087.00952805075,40087.00952805075,0.0,0.0,0.0,1568948.33987862
9,2000-03-05,1603544.3789368581,1360723.6500054637,1775524.68692698,1603544.3789368581,1603544.3789368581,-37821.15053496266,-37821.15053496266,-37821.15053496266,-72035.08123817541,-72035.08123817541,-72035.08123817541,34213.930703212754,34213.930703212754,34213.930703212754,0.0,0.0,0.0,1565723.2284018954
10,2000-03-12,1606192.346284972,1359783.9203572192,1789149.8318513492,1606192.346284972,1606192.346284972,-41671.788689118,-41671.788689118,-41671.788689118,-72035.08123817541,-72035.08123817541,-72035.08123817541,30363.29254905741,30363.29254905741,30363.29254905741,0.0,0.0,0.0,1564520.557595854
11,2000-03-19,1608840.3136330857,1346822.666087629,1792247.0345730765,1608840.3136330857,1608840.3136330857,-41546.56541084686,-41546.56541084686,-41546.56541084686,-72035.08123817541,-72035.08123817541,-72035.08123817541,30488.515827328552,30488.515827328552,30488.515827328552,0.0,0.0,0.0,1567293.7482222388
12,2000-03-26,1611488.2809811994,1350969.1522317866,1791279.9690792724,1611488.2809811994,1611488.2809811994,-40861.05951526122,-40861.05951526122,-40861.05951526122,-72035.08123817541,-72035.08123817541,-72035.08123817541,31174.021722914193,31174.021722914193,31174.021722914193,0.0,0.0,0.0,1570627.221465938
13,2000-04-02,1614136.248329313,1350251.9851047285,1788053.9300111884,1614136.248329313,1614136.248329313,-43255.94405069267,-43255.94405069267,-43255.94405069267,-72035.08123817541,-72035.08123817541,-72035.08123817541,28779.137187482742,28779.137187482742,28779.137187482742,0.0,0.0,0.0,1570880.3042786203
14,2000-04-09,1616784.2156774267,1338666.1365736881,1800599.232786731,1616784.2156774267,1616784.2156774267,-47907.15001896719,-47907.15001896719,-47907.15001896719,-72035.08123817541,-72035.08123817541,-72035.08123817541,24127.931219208214,24127.931219208214,24127.931219208214,0.0,0.0,0.0,1568877.0656584594
15,2000-04-16,1619432.1830255403,1355453.6407454526,1792877.8617846698,1619432.1830255403,1619432.1830255403,-51135.949100339436,-51135.949100339436,-51135.949100339436,-72035.08123817541,-72035.08123817541,-72035.08123817541,20899.132137835968,20899.132137835968,20899.132137835968,0.0,0.0,0.0,1568296.233925201
16,2000-04-23,1622080.1503736542,1333588.527478687,1775686.1042687767,1622080.1503736542,1622080.1503736542,-51515.61653436812,-51515.61653436812,-51515.61653436812,-72035.08123817541,-72035.08123817541,-72035.08123817541,20519.46470380729,20519.46470380729,20519.46470380729,0.0,0.0,0.0,1570564.533839286
17,2000-04-30,1624728.1177217679,1348955.5177012864,1782664.8400132745,1624728.1177217679,1624728.1177217679,-51524.891450848765,-51524.891450848765,-51524.891450848765,-72035.08123817541,-72035.08123817541,-72035.08123817541,20510.189787326643,20510.189787326643,20510.189787326643,0.0,0.0,0.0,1573203.2262709192
18,2000-05-07,1627376.0850698815,1355094.903632301,1802190.926483403,1627376.0850698815,1627376.0850698815,-53929.44926886305,-53929.44926886305,-53929.44926886305,-72035.08123817541,-72035.08123817541,-72035.08123817541,18105.63196931236,18105.63196931236,18105.63196931236,0.0,0.0,0.0,1573446.6358010184
19,2000-05-14,1630024.0524179952,1354795.3228893778,1785822.3762123361,1630024.0524179952,1630024.0524179952,-58078.28617836015,-58078.28617836015,-58078.28617836015,-72035.08123817541,-72035.08123817541,-72035.08123817541,13956.79505981526,13956.79505981526,13956.79505981526,0.0,0.0,0.0,1571945.766239635
20,2000-05-21,1632672.0197661088,1357009.4377846613,1792662.9066987922,1632672.0197661088,1632672.0197661088,-61006.84042913382,-61006.84042913382,-61006.84042913382,-72035.08123817541,-72035.08123817541,-72035.08123817541,11028.240809041588,11028.240809041588,11028.240809041588,0.0,0.0,0.0,1571665.179336975
21,2000-05-28,1635319.9871142227,1365039.0092522367,1803280.984495776,1635319.9871142227,1635319.9871142227,-61567.38800083948,-61567.38800083948,-61567.38800083948,-72035.08123817541,-72035.08123817541,-72035.08123817541,10467.69323733593,10467.69323733593,10467.69323733593,0.0,0.0,0.0,1573752.5991133833
22,2000-06-04,1637967.9544623361,1352075.785678925,1782662.526569003,1637967.9544623361,1637967.9544623361,-61899.75984205433,-61899.75984205433,-61899.75984205433,-72035.08123817541,-72035.08123817541,-72035.08123817541,10135.321396121077,10135.321396121077,10135.321396121077,0.0,0.0,0.0,1576068.194620282
23,2000-06-11,1640615.92181045,1348496.3020757271,1808760.7297704918,1640615.92181045,1640615.92181045,-64394.45740735284,-64394.45740735284,-64394.45740735284,-72035.08123817541,-72035.08123817541,-72035.08123817541,7640.623830822569,7640.623830822569,7640.623830822569,0.0,0.0,0.0,1576221.4644030973
24,2000-06-18,1643263.8891585637,1377080.4380987976,1788725.3380537245,1643263.8891585637,1643263.8891585637,-68421.5963578706,-68421.5963578706,-68421.5963578706,-72035.08123817541,-72035.08123817541,-72035.08123817541,3613.4848803048,3613.4848803048,3613.4848803048,0.0,0.0,0.0,1574842.292800693
25,2000-06-25,1645911.8565066773,1363156.8442480667,1792799.448533219,1645911.8565066773,1645911.8565066773,-71263.25278823532,-71263.25278823532,-71263.25278823532,-72035.08123817541,-72035.08123817541,-72035.08123817541,771.8284499400892,771.8284499400892,771.8284499400892,0.0,0.0,0.0,1574648.603718442
26,2000-07-02,1648559.823854791,1354598.6330991236,1794805.3439125272,1648559.823854791,1648559.823854791,-71879.72478847671,-71879.72478847671,-71879.72478847671,-72035.08123817541,-72035.08123817541,-72035.08123817541,155.35644969868477,155.35644969868477,155.35644969868477,0.0,0.0,0.0,1576680.0990663143
27,2000-07-09,1651207.7912029047,1374254.926117053,1798321.7019630647,1651207.7912029047,1651207.7912029047,-72322.22341801031,-72322.22341801031,-72322.22341801031,-72035.08123817541,-72035.08123817541,-72035.08123817541,-287.14217983491193,-287.14217983491193,-287.14217983491193,0.0,0.0,0.0,1578885.5677848943
28,2000-07-16,1653855.7585510183,1348444.6562519637,1776405.6033943319,1653855.7585510183,1653855.7585510183,-74882.37540062504,-74882.37540062504,-74882.37540062504,-72035.08123817541,-72035.08123817541,-72035.08123817541,-2847.294162449631,-2847.294162449631,-2847.294162449631,0.0,0.0,0.0,1578973.3831503934
29,2000-07-23,1656503.7258991322,1359087.8553441195,1794286.7631523635,1656503.7258991322,1656503.7258991322,-78910.8079869667,-78910.8079869667,-78910.8079869667,-72035.08123817541,-72035.08123817541,-72035.08123817541,-6875.726748791288,-6875.726748791288,-6875.726748791288,0.0,0.0,0.0,1577592.9179121654
